phase,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
16,0.933717526,0.606747496,1.244589119,0.97487298,0.50189373,1.847061499,0.25262134,1.333313587,0.748108096,0.827408126,0.979900293,1.068304667,0.228034686
16,0.815666203,0.116137411,0.971291751,0.669084316,0.466905564,0.842175079,0.515844571,1.927271024,0.665645669,0.741216674,0.901763911,0.9304823,0.400939836
16,0.815403723,0.110253556,0.879000487,0.650820207,0.226225443,0.639358422,0.006006006,0.866308736,0.545224515,0.987244331,0.958522516,0.914520977,0.298605373
16,0.263393099,0.007377996,0.608927569,0.347418974,0.285912256,0.091130781,0.015966981,0.080472926,0.309113035,0.104444793,0.777408461,0.749807062,0.007057057
16,0.390314948,0.009373024,0.36329981,0.442280787,0.216988446,0.102230281,0.019162931,1.012623162,0.452359518,0,0.876974303,0.528480496,0.003488899
16,0.448450249,0,0.054081428,0.417332313,0.088866696,0.038083415,0.003753754,0.712617709,0.147584246,0.008819615,0.20659594,0.016872208,0
16,0.316311265,0.003865282,0.015373002,0.138445834,0.099754741,0.016445986,0.00015015,0.007463993,0.307702723,0,0.262287914,0.501339019,0.001651652
16,0.065331016,0.032570216,0.026409169,0.003243231,0.000617758,0.013700096,0.018954505,0.002218127,0.383437244,0.000212344,0.021482142,0.197957452,0.003603604
18,0.001082279,0.035770353,0.008658232,0.021633554,0.011595846,0.036242565,0,0.001051051,0.111100141,0.002710779,0,0.34930229,0
20,0.017297234,0.016988355,0.016445543,0.031991661,0.001698835,0.016679744,0.022072072,0.275183353,0.060790245,0.027571684,0,0.32719358,0.0003003
22,0.038095482,0.026641643,0.006335541,0.043431121,0.257639783,0,0.051398438,0.33652378,0.007211213,0.003587658,0,0.146915555,0.007932196
24,0.014054002,0,0,0.003770521,0.071715117,0,0,0.359195784,0,0.002552553,0.013637902,0.130299113,0.014414414
26,0.007277718,0.000463834,0.011989842,0,0.016671491,0,0.006042439,0.205295973,0.282813389,0,0.032222899,0.009589175,0.019380136
28,0.062182529,0.002007715,0.202099959,0,0.003243231,0.069007943,0.328934037,0.24692911,0.641869262,0.106549318,0.002551135,0,0.021621622
30,0.51531703,0.020771654,0.303347393,0,0.182006961,0.1971321,0.680019103,0.564993783,1.162177863,0.68065673,0.059882398,0.291928631,0.031890932
32,0.795727491,0.602940939,1.200566049,0.055722178,0.304503238,1.053582386,1.093096977,1.271764747,1.200627244,1.104256688,0.666256595,1.061739386,0.235798449
34,1.115589681,1.007878986,1.277768895,1.112423265,1.263301989,1.279221035,1.598004171,1.43787,1.455244099,1.267737751,1.438352559,1.679964598,0.877070159
36,1.381598301,1.315360416,1.383709995,1.356927975,1.459475265,1.449943963,1.662777483,1.541023295,1.585087866,1.290490436,1.371423412,1.202373403,1.460233591
38,0.851732516,1.268754577,1.170165875,1.185031195,1.342772419,1.276030678,1.779202695,1.458776132,1.352417195,2.684425729,2.299440466,1.560613489,1.564440965
40,0.383463767,0.719779557,0.703925511,0.807840905,1.008222119,0.439293237,1.243389669,0.763175216,0.817718239,0.410595763,0.82827644,0.938292859,1.12411604
42,0.007145662,0.119726834,0.175825207,0.10651749,0.254453849,0.025646967,0.329142802,0.09525197,0.106250368,NA,0.708933448,0.721817389,0.347156738
44,0.014318832,0.003088792,0.018153324,0.012200727,0.018069432,0.007106141,0.007066405,0.010873005,0.003453453,NA,0.031787662,0.025970136,0.015802116
46,0.001700724,0.000618102,0.003991148,0.005871965,0.004545243,0,0,0.005956805,0.015622559,NA,0.028786225,0,0.005255255
