phase,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30
16,0.179035292,0.19323227,0.451947331,0.155170875,0.103397616,0.093828954,0.155219659,0.672414755
16,0.014251927,0.192699461,0.605548923,0.243201702,0.013702168,0.576485346,0.169686495,0.770059689
16,0.061903028,1.40869388,0.332198109,0.130760669,0.016257913,0.484550321,0.024608733,0.406770237
16,0.175350287,0.716373849,0.428007363,0.3261007,0.022081146,0.409555791,0.000600267,0.566542318
16,0.013094704,0.175488968,0.063781669,0.121594538,0,0.085171712,0.006972975,0.506576101
16,0.013268036,0.069789716,0.006815165,0.055090733,0.014618637,0.174392497,0.004864297,0.221145818
16,0.159771144,0.001863996,0,0.105709077,0,0.017526715,0,0.004954955
16,0.247095171,0.015017343,0.012455543,0.156657344,0.182726282,0.027408106,0.003751669,0.007655811
18,0.003903904,0,0.007957958,0.030647129,0.322001774,0.017567568,0.025400157,0
20,0.055242683,0,0.017152606,0.010209537,0.15659574,0.009754341,0,0.054805962
22,0.006156156,0,0.0466238,0.100634425,0.014184188,0.017930062,0,0.147397112
24,0.080834636,0.026403723,0.283331323,0.13269147,0.006299307,0.106601315,0,0.633279175
26,0.157550216,0.061396827,0.394286371,0.051313004,0.007661914,0.080022838,0.01115374,0.280273562
28,0.132184157,0.258456434,0.345980689,0.004051803,0.029563964,0.487299233,0,0.703695138
30,0.649555502,0.418802138,0.210430189,0.548890306,0.869112879,0.971374201,0.006456456,0.912081955
32,1.127023511,1.324353439,1.354218646,0.897323031,1.435924655,0.652685611,0.447098751,1.364587347
34,1.265855671,1.630868273,1.113567036,1.255402764,1.578298674,1.106128305,0.643746424,1.366342552
36,1.310842604,1.610011307,1.928515318,1.359096477,1.495373387,0.912462677,0.903543089,1.539233217
38,1.28275708,2.076501906,0.84389959,1.216899881,1.766056178,1.180801854,0.925215003,1.259357289
40,0.733211689,1.3314163,1.365760485,1.073595184,1.225362456,0.957567379,0.943329553,0.896912793
42,0.160268318,0.703259635,0.651571647,0.49596546,0.407010901,0.33470878,0.33098661,0.166983425
44,0.012553152,0.066905066,0.00856742,0.046164747,0.031898305,0.037116345,0.007715565,0.025007872
46,0.008170302,0.003903904,0.005855856,0.009309309,0.008090473,0.005855856,0.002552553,0.009578527
