phase,09:00,09:30,10:00
16,1.128834445,1.29007644,2.050459071
16,1.037147395,1.340231827,1.798076651
16,0.955137227,0.191439945,0.108280023
16,0.623348333,0,0.10259691
16,0.625445263,0.014264264,0.015032987
16,0.448181059,0,0.045137054
16,0.770149667,0.021672837,0.008532797
16,0.38676131,0.004580852,0
18,0.31696016,0.005379644,0
20,0.622794509,0,0.003753754
22,0.317768398,0.011722151,0.081606576
24,0.013213213,0.050423558,0.010340343
26,0.004354354,0.000600601,0
28,0.306847052,0,0.005107943
30,0.512638258,0,0.028816155
32,0.138553111,0.003217503,0.010546943
34,1.403121989,0.620666835,0.711825476
36,1.728072986,1.280263629,0.834016411
38,1.586958997,1.587402847,1.526527283
40,1.166252296,1.822052009,1.642711083
42,0.861368329,0.747132549,1.037293446
44,0.108526881,0.735783082,0.226493362
46,0.006280545,0.019171818,0.010132925
