phase,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30
16,0.643048848,0.713301435,0.851702797,0.682718639,0.741997914,0.770264968,0.960036794,0.73410417,0.914486073,1.190163509,0.252581159,1.43547355,0.432448745,0.854491424
16,1.150500114,0.481972632,0.68446476,0.211528761,0.407427003,0.72238115,0.837329479,0.63952699,0.458617812,0.858843449,0.07173022,1.405195096,0.172385674,1.034074002
16,0.776962971,0.458710164,0.598614244,0.030377784,0.254096738,0.76133913,0.662869714,0.007031295,0.941857612,0.332943549,0.031228382,1.343991223,0.022672673,0.476859072
16,0.621983896,0.297856385,0.512295267,0.003770521,0.003781497,0.65501531,0.580653307,0.751320311,0.856660926,0.016887708,0.01776509,1.18882941,0.057952405,0.997438812
16,0.534190806,0.017263409,0.356325308,0,0.223138292,0.594665168,0.494158243,0.057493235,0.596099032,0.003515648,0.000812945,0.900525339,0.009459459,1.052094167
16,0.050867256,0.012039603,0.079148874,0.035543346,0.026091198,0.557413429,0.491223103,0.0003003,0.952473977,0.004204204,0.001311992,0.409162072,0.012762763,0
16,0.011582969,0.011132012,0.032647923,0.08790064,0.002937614,0.5931429,0.08647068,0,0.296263998,0.015315315,0.004932261,0.479826796,0.017838271,0.599064802
16,0.021169978,0.023520816,0.018697151,0.34778136,0.002625473,0.269258228,0.047807063,0.004054054,0.351521014,0.011924056,0,0.252245215,0,0
18,0.007449138,0.017924945,0.047947665,0.52763314,0.019665604,0.422807861,0.003815948,0.018178267,0.170618986,0.007511681,0.003453453,0,0,0
20,0.004962871,0.026732408,0.040614332,0.034677134,0.032773104,0.082998743,0.012155409,0.006006006,0.264589918,0.007207207,0,0.08597146,0,0
22,0.050304718,0.033435503,0.180437577,0.002072837,0.00602984,0.166316449,0.011111111,0.017629762,0.644567884,0,0,0.687958959,0,0.006159578
24,0.012579126,0.032590608,0.094980317,0.006332023,0.000463062,0.303255407,0.02042042,0.010527632,0.354595551,0,0,0.173755691,0.026856891,0.040338846
26,0.030887917,0.02286693,0.086834672,0.003863135,0.000463834,0.112535449,0.01006006,0,0.032255125,0.030744205,0.019115134,0.003154906,0.023123123,0.0003003
28,0.024737805,0.04518745,0.165296369,0.090523195,0,0.309600901,0.06100412,0.0003003,0.179623593,0.013083418,0,0,0.004832206,0
30,0.074180805,0.210734037,0.377054455,0.027041943,0.048664797,0.376788009,0.212070808,0.015465465,0.561200503,0.001501502,0.002704205,0.0003003,0.004807476,0.000150234
32,0.792106642,1.370316175,0.496731891,0.610698146,0.27767431,0.644911094,1.244631079,0.179314931,0.35685925,0.007057057,0.062998741,0.099078098,0.578137657,0
34,1.06742003,1.203422568,1.059185938,1.43109451,0.791145865,1.108868507,1.455719748,0.896109816,1.229761588,1.037457058,1.558042359,1.571903868,0.796381191,1.266512198
36,1.217726963,1.441046836,1.163283948,1.395915145,1.308181666,1.251885346,1.608594369,1.347415989,1.377079291,1.552093374,1.404315831,1.814659786,2.036146661,0.825957226
38,1.599417118,1.255910289,1.030569052,1.253418907,1.334887126,1.037809699,1.459686274,1.519589084,1.479941227,1.537912025,1.78778813,1.85732434,1.309463941,1.896496173
40,1.427199903,0.68593794,0.424759996,0.574896276,1.197628845,0.440448556,1.170373948,1.436983306,0.803973848,0.899273031,1.818828455,1.536415108,1.470638434,2.198331983
42,0.983297789,0.062708169,0.024269182,0.025396821,0.233900036,0.059739472,0.193845026,0.680899343,0.683466451,0.0502216,0.769887141,1.049002359,0.024904001,0.615530086
44,0.232924824,0.015582261,0.010874742,0.019820525,0.03129836,0.010023028,0.014328182,0.119893046,0.007870002,0.013363363,0.057265473,0.093295053,0.020951184,0
46,0.015829402,0.011213474,0.007942349,0.004345734,0.004702381,0.020860927,0.001065454,0.013736529,0.019544373,0.015077209,0.031840669,0.013324139,0.004152681,0.003190459
