phase,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30
16,0.794688914,0.908167605,0.825876946,1.517068057,1.40379949,0.423273946,0.010433225,0.008253673,0.744395769,0.066285433,0.205753856,0.709107525,0.148426725,0.177191936,0.457849543,0.843610652,0.676110666,0.452751328,0.318280977,0.138793286,1.179606652,0.784633187,0.045437774,0.349662922,0.14330254,0.21952266
16,0.374771753,0.060365268,0.557063285,1.123994087,0.759675242,0.115205669,0.028585513,0.003303303,0.686685258,0.017956519,0.064602299,0.729240307,0.021391759,0.093588426,0.292430121,0.974360966,0.278702717,0.442074426,0.248230204,0.216998646,1.078728548,0.378038532,0,0.083980493,0.060740025,0.053842364
16,0.35696945,0.009371504,0.326943224,0.875391534,0.524189543,0.294094218,0.018779202,0.004351937,0.006672508,0.034238165,0.045131081,0.817579983,0.007962382,0.011578665,0.016424141,0.81849314,0.234973017,0.550932219,0.392994802,0.289391651,0.638492198,0.5707699,0.020355858,0.045743051,0.03839177,0.001051635
16,0.164986479,0.025575991,0.116910835,0.663994436,0.427136311,0.194416773,0.004535897,0.0003003,0.006064831,0.032955563,0.050392137,0.808570882,0.007865632,0.005702538,0.067164323,0.664222768,0.277099419,0.362530454,0.242229504,0.061868244,0.370142772,0.289634352,0.031095818,0.013475845,0.04236699,0.027744609
16,0.062317683,0.009821954,0.216887331,0.419037032,0.352532367,0,0,0,0.048136377,0.014688953,0,0.726036387,0.013063063,0.080453395,0.037867286,0.88964072,0.429468913,0.339811564,0.227829657,0.186314867,0.39545603,0.244920421,0.056398286,0.030401985,0.317112778,0.192375807
16,0.026405363,0,0.114469547,0.535684678,0.182074094,0.015872518,0,0.024244922,0.120867921,0.01036036,0.02729076,0.636325556,0.296878089,0.408193546,0.119258489,0.437120031,0.076692138,0.063675989,0.047788651,0.094616399,0.072149823,0.117146421,0.025854184,0.053162426,0.057352817,0.089073039
16,0.013707712,0.000600601,0.018857882,0.311419715,0.082181022,0.224308056,0.01597811,0.010515339,0,0.002102102,0.033285211,0.579242482,0.28410989,0.335515372,0.003154906,0.359443863,0.012054154,0.306662296,0.033901245,0.181494213,0.295370645,0.163421371,0.2326446,0.004804805,0.008558559,0.006910746
16,0,0.164429233,0.037303339,0.406382182,0.012294104,0.038116837,0.030930931,0.046009331,0,0.033201171,0.02302026,0.238080194,0.491128973,0.310243564,0.024332148,0.339370144,0.015343224,0.003301469,0.109424897,0.032636757,0.012299344,0.097557507,0.032834692,0.011829528,0.030758286,0.026686139
18,0.0057679,0.012799195,0.023422294,0.14099508,0.014374485,0.004266398,0.015765766,0.078173261,0.00960961,0.018401406,0.017888477,0.371267194,0.090232558,0.044099071,0.036415452,0.859955449,0.03003003,0.425177264,0.098803505,0.029377162,0.000447962,0.038938982,0.049519576,0,0.06101675,0.059443274
20,0.025292329,0.389246108,0.015757012,0.071734945,0.009800176,0.000300134,0.047076927,0.061173749,0.062974194,0.031439613,0.043712093,0.064010392,0.01305581,0.046209943,0,0.9930652,0.014406411,0.200433612,0.04663172,0.036004585,0.018233196,0.023410418,0.011848697,0.00259624,0.111271572,0.077692573
22,0.011464884,0.001501502,0.016976398,0.345665361,0.001199868,0.018628968,0.035476193,0.031753357,0.006580845,0.00688497,0.009221353,0.153928994,0.001651652,0.034496536,0.015743294,0.954225462,0.025601943,0.300801608,0.061286723,0.073149292,0.013930743,0.088599317,0.005470639,0.016040304,0.029292867,0.0254304
24,0.129363223,0,0.160351444,0.342172628,0.005820287,0.053393819,0.035173879,0.084920868,0.007151711,0,0.001350601,0.025231562,0.016507346,0.021532374,0.132338721,0.709017445,0.007876297,0.536989286,0.092362438,0.29382723,0.057125565,0.066253118,0.049890202,0.003063495,0.170789246,0.030571624
26,0.26934888,0.663005148,0.106540185,0.404195811,0.019212956,0.15545629,0.000901402,0.128786841,0.082983627,0.012417838,0.251617821,0.001502336,0.000150234,0.079931714,0.001352103,0.57200032,0.008294691,0.640568139,0.234672877,0.292377732,0.000896915,0.010572705,0.248068936,0.014935357,0.169881952,0.229634849
28,0.462269156,1.247586231,0.360076434,0.005102271,0.007644916,0.34191864,0.060951798,0.080194727,0.040355791,0.006185716,0.249795767,0.007653406,0.051314469,0.043790742,0.231764139,0.847150316,0.009463886,0.661206583,0.244643889,0.272915381,0.013591277,0.406560383,0.501244971,0.115133844,0.369781068,0.214313293
30,0.970519197,1.024700194,1.058839574,1.150187767,0.374644052,0.55893476,0.109140581,0.27037914,0.580784937,0.067216902,0.813199025,0.408948477,0.368057591,0.277680205,1.181349517,1.399798099,0.14853675,0.980220992,0.820915526,0.242608355,0.001494031,0.523028946,0.36089798,0.892033762,0.892559763,0.488703796
32,0.907895709,1.517852343,1.511527572,1.452169543,1.236668569,0.93135079,0.590477337,0.620300319,1.236414475,0.547719483,1.015097633,0.914730871,0.903005261,0.801263953,1.595046854,1.329108719,0.832571408,1.273354337,1.218114121,0.152734519,0.770176808,0.800981619,1.407529533,1.10645661,1.196916744,0.897926402
34,1.380339649,1.49482524,1.320188782,1.507931659,1.3586242,1.596612181,1.044003872,0.928126126,0.919132263,1.22315767,1.479296698,1.131433408,1.172394867,1.039828872,1.390999623,1.5279794,0.981873051,1.431884626,1.212192456,0.208869894,0.956946252,1.168076807,1.306777664,1.340496607,1.318421911,1.153200888
36,1.689199636,2.45284538,1.591153533,1.843404175,1.655841605,1.459864375,1.250272427,1.100421471,0.882472931,1.319600317,1.710545625,1.090869635,1.29591481,1.022036777,1.654309625,1.453514893,1.534823863,1.431343984,1.308779933,0.142203772,1.271059557,1.487621842,1.349079307,1.510257712,1.324337703,1.408764679
38,1.775538154,2.091813958,1.216489926,1.778647171,1.682809799,1.495269625,1.280616089,0.745072338,0.930300476,1.311867957,1.587908869,1.036176389,1.309626589,0.888172043,1.402388461,1.530171627,1.413125458,1.300246848,1.234111309,0.203154732,1.297738904,1.502965856,1.212710221,1.299009124,1.23042829,1.266596783
40,1.55068431,1.183696689,1.146887398,1.244415031,1.425479017,0.982066635,1.018809802,0.069479165,0.587734521,0.95092686,1.227816071,0.493950983,0.977543447,0.526432112,0.88299759,1.009726117,0.916317863,0.872195439,0.761510913,0.096095528,0.767594116,1.289404148,1.040386297,0.6913942,0.800762468,1.076762702
42,0.708925036,0.336988465,0.494459957,0.497008755,0.482793127,0.277056064,0.356158735,0.005500976,0.194106046,0.311922756,0.454654745,0.110913381,0.294963322,0.589671916,0.200548578,0.243700326,0.311979649,0.189087142,0.108938088,0.002869485,0.22388998,0.537878589,0.284821759,0.112549566,0.143489023,0.457981933
44,0.087878173,0.001800801,0.046840774,0.027585094,0.007799142,0.004051803,0.027112985,0.003665798,0.0093663,0.040356731,0.013366608,0.008978259,0.041766272,0.023534614,0.019208548,0.008625645,0.038133326,0.005526723,0.015793424,0,0.015474666,0.090986731,0.014110061,0.023352056,0.012378301,0.068287306
46,0.004354354,0.004444665,0.009821954,0.004054054,0.014222425,0.005910405,0.014927059,1.600525946,0.010722855,0.010177399,0.004100171,0.00045045,0.011525968,0,0.004266398,0.003363629,0.004804805,0.003720715,0.004326189,0,0.010186694,0.009044455,0.003400943,0.009245719,0.009239838,0.006628962
