phase,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30
16,0.058533229,0.244910091,0.662659093,0.755094576,0.558850096,0.009857519,0.344153059,0.490296878
16,0.050183773,0.083603572,0.204807576,0.068714887,0.269270759,0.001544396,0.377971385,0.778180268
16,0.069937269,0.242379325,0.130277817,0.072147065,0.137030832,0.003708609,0.590002185,0.519144729
16,0.034823081,0.010364717,0.185223274,0.009111936,0.164692023,0.032682636,0.252255503,0.352413577
16,0.082125901,0.025250481,0.090920475,0.014327802,0.038399761,0.016774712,0.016597502,0.020757932
16,0.016302079,0.044500044,0.045644849,0.008293344,0.082555189,0.042335742,0.421158688,0.031878526
16,0.03288813,0.0718781,0.021730738,0.006181015,0.053964189,0.014785077,0.240875953,0.226914421
16,0.026712683,0.062551371,0.004851598,0.016688742,0.00200883,0.035130632,0.005929383,0.658392576
18,0.058684176,0.03870776,0.001082279,0.000463576,0.000772627,0.049620971,0.000309223,0.093645673
20,0.004169869,0.000463834,0.004167555,0.002998323,0.021350136,0.070871172,0.018916576,0.027770119
22,0.007949217,0,0.090518553,0,0.070243841,0.065381955,0.065850811,0.036864459
24,0.012193957,0,0,0.029931258,0.007762505,0.248744389,0.033482117,0.136242334
26,0.002692434,0.00232175,0.001390728,0.067654837,0.00803532,0.177511909,0.041412344,0.004326711
28,0.044750741,0.001854305,0.059256656,0.000463062,0.036591059,0.051259228,0.237778328,0.011439505
30,0.108501732,0.003595573,0.056090531,0.131562902,0.006957508,0.112491549,0.125500072,0.328662839
32,0.20087368,0.129115896,0.016370596,0.577732456,0.01245105,0.44070493,0.683565349,0.426614338
34,0.993165942,1.156413482,0.731962801,1.374010192,0.190703938,0.609888536,1.266603192,0.654338527
36,1.494983289,1.440255654,1.362750628,2.195423402,0.813308353,1.009419626,1.651405279,0.565357791
38,1.201974487,1.146319067,1.423680303,2.357597244,0.553402481,1.083740016,1.51302798,1.084442738
40,1.256707352,1.162499313,1.372502103,2.559112915,1.03572728,1.169210073,1.470264792,0.942266503
42,0.907232388,0.966659202,1.246348151,1.449020439,0.836381608,0.732561909,1.033749946,0.60283029
44,0.115799746,0.212631007,0.198944201,0.100381871,0.180440451,0.099465032,0.203104753,0.144913153
46,0.001391502,0.020517184,0.005720617,0.007698043,0.002163355,0.019657729,0.005717439,0.002781457
