phase,09:00,09:30,10:00,10:30,11:00,11:30,12:00
16,0.89792083,0.384709834,0.603011868,0.312957054,1.229945131,0.579241901,8.745289818
16,0.78388198,0.132427344,0.221125817,0.028067749,0.699197849,0.082274155,0.27985375
16,0.557837005,0.004204204,0.005719554,0.029411547,0.506081616,0.178957488,0.128048191
16,0.632911883,0.005314497,0.018458214,0.023493907,0.186991936,0.011053447,0.561212536
16,0.609890024,0.01612826,0.001501502,0.145462657,0.15450137,0.017728389,0.660344282
16,0.262676945,0.023860618,0.004351937,0.044477166,0.0178719,0.000300134,0.501167682
16,0.131489165,0.047982186,0.004957709,0.015774529,0.045774311,0,0.399422121
16,0.046295586,0.000600267,0,0.004051803,0.009904407,0,0.015748753
18,0.052468837,0.004416549,0,0.015139403,0,0,0.022579574
20,0.014893023,0,0,0.047870751,0,0,0
22,0.009014017,0,0.010666587,0.031751689,0,0.000424689,0
24,0.147515846,0,0.03554609,0.002100935,0.005852604,0.020559149,0.001563696
26,0.135017672,0.004354354,0.023436444,0.026295605,0.008558559,0.009159159,0.002701202
28,0.203181377,0.080413233,0.015606945,0.180894851,0.059952865,0.012755676,0.055157855
30,0.537488085,0.112410624,0.028504898,0.639580613,0.924832501,0.000300467,0.003151402
32,1.070802622,0.888545439,1.058474834,0.642043571,1.118849394,0.415840295,0.37100669
34,1.102418521,1.166250666,1.356255185,1.387698642,1.339905945,2.16803497,1.298383536
36,1.183934871,1.175904934,1.312998088,1.135933777,1.763587194,1.879007759,1.21565623
38,0.698873601,0.747289645,0.759193984,0.69195288,1.301419782,2.475160234,0.87101935
40,0.036903151,0.230755503,0.329997419,0.228132741,0.152488229,0.112799979,0.659345392
42,0.003903904,0.00791582,0.001502336,0.011700739,0.017012851,0.010340343,0.052544211
44,0.002100935,0.000300134,0.000600267,0.000900401,0.00254972,0.001199868,0.008262849
46,0.0003003,0.005441838,0.004952204,0.00721387,0.000750751,0.002854439,0
