phase,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30
16,0.663290482,0.469530731,0.323016355,0.509167559,0.473769237,0.140877081,0.624896787,0.600454484
16,0.671100583,0.743714694,0.563693512,0.168304753,0.169143422,0.049777332,0.00045045,0.052519004
16,0.574583949,0.264611905,0.350629736,0,0.100846072,0.00015015,0.005202745,0.008207493
16,0.686268718,0.265596428,0.247573864,0.00896764,0.183785551,0.005555556,0,0.017023738
16,0.082347061,0.022542877,0.106690855,0.92857619,0.052632488,0.019555952,0,0.006795569
16,0.354745889,0.006917578,0.33796593,0.589218967,0.267722396,0.044128014,0.000600601,0
16,0.170173847,0.030124237,0.126360063,1.137950333,0.387453085,0.022643004,0.018168168,0.004654655
16,0.020156553,0.051895821,0.035489431,0.836497075,0.358283876,0.007131502,0.01298232,0.041184041
18,0.021840217,0.06522477,0.003774335,0.981909111,0.014487625,0.016366366,0.033231684,0.022177314
20,0.019075246,0.166794463,0.007657658,1.062203039,0.005379644,0.018126715,0.025229502,0.047934727
22,0.019219219,0.119442855,0,0.926013926,0.02677383,0.003003003,0.017111533,0.008282624
24,0.008108108,0.060155804,0.044294462,0.767505404,0.020259015,0.003753754,0,0.000683364
26,0.004957709,0.015424613,0.010810811,0.104562153,0.018852107,0.005322782,0.010510511,0.000812945
28,0.167484927,0.006368501,0.001200534,0.925607742,0.049170735,0.0003003,0.004954955,0.012474012
30,0.557707559,0.103954346,0.007357357,1.08598361,0.033893498,0.003640036,0,0
32,1.243798848,0.915115236,0.089390846,0.831811045,0.625090287,0.937601341,0.045811186,0.014894151
34,1.374899585,1.102464507,1.346260708,1.380801071,1.290673214,1.353087917,1.11351556,0.017417417
36,2.086626573,1.436583431,1.386363718,1.184976852,1.161161374,1.724205479,1.766127544,1.02320511
38,1.405866011,1.351625367,1.301229227,1.206242785,1.32986261,1.607492753,1.39250907,1.721205843
40,0.807710819,0.858260861,0.647936135,0.792482228,0.459374091,0.989782137,0.972210337,2.44677682
42,0.047880338,0.14333847,0.03248422,0.26710513,0.026463234,0.089798219,0.119518111,0.297820774
44,0.031395545,0.030157812,0.012041755,0.011572232,0.003336895,0.00540841,0.004557857,0.030911891
46,0.013160575,0.031391829,0,0,0,0.000900901,0.014065809,0.001352103
