phase,09:00,09:30,10:00,10:30,11:00,11:30,12:00
16,0.030636679,0.914709229,0.599708931,1.92731727,0.438133814,0.600208304,0.914095003
16,0.006949781,0.027716465,0.64728209,1.048735617,0.218236422,0.074255186,1.957347129
16,0.000309051,0.001236203,0.998905681,0.601415095,0.183257309,0.068469375,0.658232744
16,0.001544396,0.004787627,0.864172265,0.224005792,0.034062191,0.069084125,0.056913416
16,0.01004415,0,0.492948282,0.147582561,0.009464718,0.023458404,0.534627491
16,0.004633188,0.00015444,0.256390268,0.339067191,0.078551068,0.006756757,0
16,0.008658232,0,0.250415241,0.137864847,0.063712598,0.000900901,0.077653333
16,0,0.026718048,0.084624184,0.277369237,0.049789486,0.007361447,0.033219418
18,0,0.016688742,0.000463834,0.155740792,0.001801802,0.041167747,0.021548605
20,0,0.013921514,0.031650008,0.07509401,0.001351351,0.006103646,0.013077594
22,0.016225166,0.015909423,0.039037349,0.007880795,0.017717718,0.012312312,0.015765766
24,0.008494177,0.007254632,0.006151086,0.003402598,0.007057057,0.011417755,0.029484029
26,0.01262052,0.011595846,0,0.000927152,0.031241902,0.005320405,0.321546829
28,0.167085527,0.004478748,0.155737484,0.029534419,0.025406401,0.014264264,0.101782146
30,0.141792723,0.002472406,0.278444723,0.077807459,0.007507508,0.03446792,0.603740796
32,0.114970019,0.046982049,0.6670442,0.911063107,0.034731788,0.309196653,0.370236632
34,0.139092215,1.375956179,1.224746736,1.635335047,0.497067139,0.569056544,0.8722651
36,0.104611755,1.60313349,1.472473899,1.814527184,0.96622419,0.676937136,2.021205105
38,0.084398605,1.587470668,1.692188678,2.148761234,1.401581204,0.755284922,1.127190335
40,0.116347144,1.560359582,1.609704341,1.958725607,1.224138107,0.82387369,0.60750516
42,0.007673245,0.993007518,1.078809252,1.35896601,0.577748036,0.236944248,0.557492394
44,0.009111936,0.212383803,0.189471041,0.28147735,0.064863163,0.035672521,0.604453623
46,0,0.009186108,0.002009947,0.005008819,0.008594004,0.002403738,0.010589827
