phase,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30
16,0.405849997,0.98157929,0.859540399,0.440275129,0.173004484,1.073356781,12.72873761,16.16659073,0.590723114,0.320170175,0.855296973,0.79326914,0.743837681,0.971862546,0.696849179,0.011773906
16,0.576932734,0.973871945,0.536010439,0.195554191,0.11409221,0.545217477,0.942477523,0.181632773,0.06568216,0.211364753,0.832881658,0.850033303,0.378948454,0.917962516,0.684364062,0
16,0.346894485,0.698832503,0.101765942,0.253813013,0.054561745,0.626815881,0.791875596,0.80962791,0.02509969,0.08765085,0.605372519,0.605476123,0.396081984,0.636091635,0.279682773,0
16,0.351844266,0.036276177,0.003288687,0.011053447,0.044225651,0.016756359,0.587485685,0.506832001,0.009004007,0.746016739,0.446488129,0.718706571,0.026768643,0.449184263,0.01408053,0.014417076
16,0.188677295,0.011571384,0.019319936,0.192239449,0.039807485,0.124687032,0.382521506,0.436877463,0.01138565,0.664725656,0.572596881,0.290071006,0.02647353,0.3854427,0.007957958,0.044864713
16,0.152582739,0.046690109,0,0.129796747,0.009578527,0.224863378,0.321225412,0.243338913,0.012817836,0.281129306,0.179655893,0.546265793,0,0.013330196,0.003301469,0.026654988
16,0.00836153,0.010034298,0,0.023131554,0.01021021,0.057314235,0.135089428,0.364273737,0.02631995,0.350529342,0.287332503,0.030591009,0,0.18176717,0.000300467,0.003753754
16,0.038208272,0.005552471,0.05857412,0.022601316,0.028512688,0.024169965,0.010810811,0.01606781,0.00554939,0.413621823,0.021949358,0.016657413,0.011979595,0.14273187,0.00885394,0.02701202
18,0.011877736,0.010842882,0.215121286,0.062071617,0.001953037,0,0.003001336,0.041577527,0.027943452,0.068227095,0.031959683,0.009014017,0.012975107,0.016074997,0,0.000901402
20,0,0.03892191,0.027703297,0.031680016,0.000299967,0.018168745,0,0.046537236,0.028062488,0.064759747,0.299964016,0.020314699,0.000900401,0.000900401,0.000662427,0.010385254
22,0,0.191190671,0.140044008,0.016919436,0.004657242,0.008625545,0.027560793,0.405741909,0.027027027,0.061709276,0.44549612,0.007807808,0,0.004354354,0.014484656,0.000300467
24,0.002851269,0.004949456,0.014848367,0.007949126,0.015872518,0,0.004204204,0.089797921,0.007848577,0.003149654,0.279022458,0,0,0,0,0.029413089
26,0.131680723,0.390151881,0.004507008,0.019393823,0.070275152,0.013106777,0.002701202,0.447512116,0.002103271,0.00051293,0.621512984,0,0.000875626,0.366547104,0.012209266,0.013063063
28,0.142909584,0.876172907,0.519287814,0.058321898,0.275994442,0.1214383,0.161958542,0.488203941,0.040610187,0,0.909792916,0.356063468,0.0979866,0.39846321,0.067520535,0.002100935
30,0.823114713,1.308520472,0.664389574,0.450345368,1.00076081,0.677867829,0.398811492,0.415218629,0.171297639,0.70234902,1.047299485,0.820569185,0.474299997,1.282121129,0.135665848,0.001051635
32,1.298462283,1.236951489,1.141350521,0.823012649,1.308826453,1.436885784,0.870630095,1.291223604,0.960658377,1.607184739,1.20788779,1.17682588,1.189823849,1.283439507,0.904801107,0.251364559
34,1.311515232,1.060902771,1.200046199,0.793479716,1.458545217,1.341719249,1.099563667,1.340251019,1.397083683,1.433877908,1.140396581,1.407641626,1.317804657,1.252267554,1.329999138,1.006001065
36,1.206457552,1.345160313,1.159885533,0.632846866,1.411957737,1.267049637,1.293233416,1.355387466,1.32471086,1.346344602,0.820602345,1.066601639,1.387412448,1.237047172,1.459605324,1.127527008
38,0.824815373,0.790063536,0.593283282,0.353061047,1.085587358,0.850487562,0.899463602,1.305175819,0.990912331,0.956849045,0.41906301,0.455488006,0.954334866,0.774396451,0.946600149,0.819810025
40,0.290198432,0.091757409,0.095145623,0.098138811,0.303037597,0.078950006,0.506963448,1.050759706,0.15877239,0.057654498,0.124768741,0.0465337,0.06508389,0.407919923,0.411806848,0.584843281
42,0.01603085,0.008558559,0.006442141,0.007211213,0.027061526,0.004206541,0.052952197,0.438906205,0.010967054,0.006518651,0.015856137,0.002403738,0.006643039,0.014246417,0.022901198,0.101021393
44,0.009309636,0.009454207,0.006876345,0.006452872,0.004326189,0.003449621,0.028373958,0.048335708,0.000899901,0.017682133,0.011104942,0.006599274,0.002525388,0.002251002,0.004324794,0.024123107
46,0.007507508,0.023423423,0.012489962,0.008269961,0.017117117,0.004504505,0.007503339,0.013874612,0.004354354,0.006400198,0.005976924,0.00015015,0.000900901,0.018675674,0.00271757,0.00015015
