phase,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,
16,0.933395144,0.838286631,0.322456307,0.486318384,0.636243264,0.665638706,0.498962223,0.785763571,1.042785639,0,0.179399485,0.616044458,
16,0.60867344,0.668226799,0.072355231,0.21916883,0.095595459,0.244696674,0.329141297,0.093698385,0.808180813,0.223439416,0.193242919,0.19492788,
16,0.902365838,0.181820397,0.009459459,0.221626571,0.327565716,0.187341006,0,0.022383583,0.970330633,0.166584649,0.275290137,0.163312432,
16,0.473142973,0.33505607,0.01198625,0.337235509,0.12240027,0.009459459,0,0.373999786,0.896985478,0.038325553,0.029210715,0.097485093,
16,0.001801802,0.272818396,0.004504505,0.046196159,0.02027027,0.004056308,0.002437848,0.81852688,0.669261297,0.029486217,0.000463576,0.095948336,
16,0.004804805,0.487568996,0.032127712,0.015765766,0.033183183,0.001201201,0.003003003,0.643544222,0.901982486,0.005852604,0.231861317,0.012728017,
16,0.006460045,0.191187992,0.010106035,0.019125856,0.023873874,0,0,0.582813011,0.550886213,0,0.031663218,0.018553354,
16,0.020152133,0.349538129,0.0003003,0,0.008108108,0.00918863,0.002252252,0.416818341,0.749830429,0,0.027469721,0.012182525,
18,0.026706229,0.266437786,0.023646439,0,0.022734867,0.007998834,0.005705706,0.005555556,0.458915688,0.008408408,0.320684901,0.004635762,
20,0.004204204,0.02015855,0.044240519,0.010960961,0.023723724,0.022522523,0.024474474,0.013428768,0.022775543,0.003903904,0,0.007721979,
22,0.007511681,0.004804805,0,0.002402402,0.004804805,0.013063063,0.00990991,0.007433365,0.577502212,0,0.023317803,0.004329116,
24,0,0,0.003003003,0,0,0.002852853,0,0.010390034,0.618625234,0.001051051,0.014645263,0.016061717,
26,0.004646726,0.006678485,0.018318318,0.022222222,0.000150234,0.022972973,0.001801802,0.007657658,0.565319357,0.031451599,0.015615739,0.000309051,
28,0.003753754,0.084149138,0.002102102,0.000601269,0,0.008708709,0.032282282,0.004351937,0.525296515,0,0.01127409,0.035366355,
30,0,0.264033996,0.01036036,0.018168168,0.036188127,0.028078078,0.022535042,0.000600601,0.661248413,0.041441002,0.007880795,0.0156002,
32,0.005258176,0.529795862,0.075923601,0.207395329,0.261142509,0.004954955,0.005742138,0.68600191,0.376776993,0.385670884,0,0.106701777,
34,1.188254654,0.931695961,0.554230897,0.578517156,1.2055064,0.466343442,0.895252437,1.115093444,1.213804739,0.935215215,0.355109994,0.49665924,
36,0.850029788,0.800301479,1.010646405,1.077925211,1.593121785,1.555942393,1.641221404,1.424600381,0.751479543,1.098167923,1.058604534,1.312023305,
38,2.199858751,0.78935145,1.195048142,1.274247917,1.631930127,2.0666858,1.591017061,1.32777025,1.215484042,1.106617239,1.272869177,1.200500471,
40,0.995197427,0.505552896,0.869300391,0.729935959,0.745922824,1.543182909,1.427232738,0.770560599,0.538409956,0.543010068,0.899442549,0.714487614,
42,0.27027027,0.056846719,0.133445512,0.118017809,0.014322038,1.171807548,0.42328776,0.048650599,0.05702497,0.145821805,0.253126528,0.142086001,
44,0.04085861,0.01808318,0.013425558,0.014264264,0.002766434,0.060439173,0.020476654,0.02521648,0.019830837,0.013063063,0.009185867,0.013692128,
46,0,0.005405405,0.006577191,0.004354354,0.006818951,0,0.012975107,0.007361447,0.00551197,0.021884738,0.016379691,0.007303229,
