phase,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00
16,0.145343385,0.850509415,0.540434939,0.294713394,0.100588825,0.169757061,0.389751674,16.3429561,0.172175004,0.03354038,0.163591907,0.404608715,0.736079145,0.410297023,0.131933632,0.126979744,0.079712814,0.097184376,0.091726358,0.647184283,0.285030155,1.113395809,0.079609868,0.808110929,0.576496724
16,0.122446802,1.165851188,0.064988511,0.020805914,0.165524514,0.436892709,0.096943028,0.490753596,0.021708188,0.004688482,0.33782108,0.375584881,0.990747013,0.300383436,0,0.253876275,0.042949965,0.297051538,0.003151402,0.258204399,0.048147844,0.807631296,0.041399393,0.590195794,0.365283009
16,0.003665798,0.990015304,0.204608038,0.004344699,0.079168176,0.211287533,0.005019938,0.20449644,0.016800389,0.003153153,0.077917776,0.478771676,0.846336642,0,0.000900901,0.032669548,0.033673683,0.115853344,0.057026292,0.115897178,0.060127837,1.139798365,0.361641621,0.141855041,0.36171096
16,0.005852604,0.848545143,0.066449778,0.015168371,0.030119628,0.29909396,0.305039267,0.018519467,0.029846194,0.030920004,0.008174858,0.058771593,0.5698812,0.002851269,0.012905743,0,0.014406411,0.298236623,0.059116312,0.221469941,0.20224653,0.437004601,0.624244207,0.307631354,0.070630831
16,0.006522274,0.743049941,0.003154906,0.000600934,0.000300134,0.353433287,0.008432774,0.012155409,0.030351672,0.021354527,0.018929435,0.291693739,0.671544156,0.144921638,0.249585024,0.011064748,0.027366063,0.067076832,0.017789795,0.400661101,0.036788381,0.765923809,0.580867487,0.252992064,0.43108071
16,0.001800801,0.613221538,0.008703873,0.000300134,0.00045045,0.364278346,0.803454588,0,0.035349183,0.022722243,0.007063804,0.486883235,0.938525687,0.459088635,0.104034783,0.001500668,0.024310818,0.024407446,0.041535283,0.342000985,0.042211684,0.424733615,0.165556875,0.243404474,0.208246745
16,0.003515648,0.506855281,0.011861862,0.025050521,0,0.073943027,0.899401432,0.007415432,0.054557859,0.004804805,0.014300697,0.405279124,0.532091624,0.440999471,0.006708961,0.200395975,0.009459459,0.022234575,0.353822411,0.40696465,0.032509294,0.209030794,0.032685379,0.095265269,0.5033379
16,0.003213562,0.399424181,0.004926456,0.021741221,0.010490577,0.041019118,0.571292089,0.019390813,0.042675313,0.003751669,0.149094158,0.161534275,0.589103755,0.050333981,0.00567679,0.042744462,0.024009233,0.024844508,0.050283978,0.019322012,0.009232141,0.416969203,0.000600267,0.023098355,0.155724102
18,0.025058815,0.105712669,0,0.01251447,0.012148664,0.013257011,0.768156186,0.022120359,0.00375584,0.013721438,0.008268929,0.002402402,0.335641413,0.014839103,0,0.106734384,0.112500324,0.038734319,0.005405405,0.019358615,0.022984519,0.025225225,0.003305139,0.000900901,0.028134865
20,0.034118014,0.004502003,0.015156745,0.00299967,0,0.027509298,0.617073927,0.018126715,0.075983048,0.021351156,0.012854248,0.010178794,0.21035137,0.04077193,0.000150067,0.034015728,0.049417919,0.005702538,0.008895975,0.012759257,0.030128502,0.018380972,0,0.019530011,0.021195828
22,0.135528417,0.01019011,0.060290459,0,0.040198397,0.107599721,0.398280638,0.002251002,0.210433219,0.026941251,0.024866719,0.026768204,0.025049313,0.069602109,0.033132511,0.019141675,0.114533697,0,0,0.015043779,0.002391772,0.148273033,0,0.007361447,0.027943452
24,0.289512829,0.11068749,0.021843173,0.037735137,0.022243564,0.20535804,0.74790335,0.017267267,0.05604284,0.061343687,0.310707853,0.012667769,0.003901736,0.098490517,0.004051803,0.016999219,0.091676797,0.341235852,0.010991287,0.011835561,0.155992532,0.288650207,0.0004502,0.003451536,0.043872239
26,0.626370961,0.737149838,0.000663163,0.000600601,0.480166502,0.371376043,1.120586886,0,0.298067147,0.03448708,0.464856648,0.003903904,0.006606607,0.17432552,0.261531547,0.189789657,0.12193983,0.408724093,0.007211213,0.013556082,0.382994655,0.010791044,0.414932053,0.004654655,0.001113864
28,1.134848816,0.489931265,0.000150067,0.517754046,0.30742623,0.367365143,0.938036624,0.004569237,0.708442579,0.000900401,0.206659185,0.337416067,0.997813603,0.718329398,0.453308734,0.005252337,0.208857436,1.067805491,0.344159954,0.006299307,0.07908359,0.85970226,0.330490347,0.118576702,0.425856215
30,1.480076181,1.597927209,0.019706102,0.790786176,0.570315881,0.726324517,1.426789502,0.096245655,0.86346759,0.134662175,0.590518812,0.729303091,1.076116972,0.970496027,0.594832546,0.105663424,0.793019845,1.01781151,1.07581762,0.034784413,0.235460404,1.145529535,0.400409127,0.450454652,0.523442302
