phase,09:00,09:30,10:00,10:30,11:00,11:30,12:00
16,0.013307558,0.332273068,0.595144138,0.723206431,0.53580738,0.200133819,0.078627712
16,0.019124011,0.194879633,0.622962041,0.316126176,0.439960581,0.025089613,0.054044763
16,0.009524913,0.142019706,0.611901475,0.125949141,0.049633457,0.023560406,0.050892745
16,0.004953042,0.024758783,0.597608334,0.307535071,0.024710334,0.207914342,0.042669229
16,0.001390728,0.019540698,0.150080567,0.021778068,0.00602649,0.034017549,0.014690893
16,0.000617758,0.02282808,0.028502095,0.126907287,0.025993284,1.013271019,0.024950696
16,0,0.017636674,0.011509867,0.010215954,0.01593595,0.146666451,0.017357366
16,0,0.004787627,0.000772198,0.062789325,0.000308708,0.009650201,0.036235761
18,0,0,0.000309051,0.12547657,0.021052224,0.041508658,0.00511032
20,0.007541042,0.000772198,0.016482001,0.197595029,0.027228801,0.028954689,0.013718626
22,0.011898455,0.005871965,0.018567168,0.04121996,0.000772627,0.037595884,0.03773714
24,0,0.030887917,0.021158223,0,0,0.784736685,0.057945472
26,0,0.043055803,0.03143349,0.004545243,0.001082279,0.976643141,0.038701646
28,0.008041834,0.024928744,0.006637217,0.141087327,0.013194985,0.365472732,0.014128949
30,0.014072682,0.047681923,0.813609235,0.032110299,0.006648285,0.074979476,0.024643509
32,0.0660632,0.155027376,0.732054626,0.41539566,0.100226344,1.047325573,0.443796209
34,0.675144311,1.367302801,1.098944434,0.838491015,0.60846202,1.13616956,0.863402968
36,1.240091389,1.447820817,0.68323321,1.05477255,0.785440456,1.302384286,0.969185643
38,1.54489787,1.174971988,1.084673487,1.801762957,1.396025539,1.33263141,1.047613266
40,1.403333831,1.11054008,1.184581983,1.5095422,1.053399583,1.238105875,1.084405224
42,0.84894483,0.861995514,0.571850286,0.479642205,0.70625572,0.672682216,0.330093928
44,0.071245824,0.128290802,0.053529574,0.029223844,0.098272711,0.099042727,0.055417386
46,0.012180993,0.009136021,0.008014981,0.003399558,0.00944135,0.00200883,0.002847045
