"phase","TCD_1_3_f_1","TCD_1_3_f_10","TCD_1_3_f_11","TCD_1_3_f_12","TCD_1_3_f_13","TCD_1_3_f_14","TCD_1_3_f_15","TCD_1_3_f_16","TCD_1_3_f_17","TCD_1_3_f_18","TCD_1_3_f_19","TCD_1_3_f_2","TCD_1_3_f_20","TCD_1_3_f_3","TCD_1_3_f_4","TCD_1_3_f_5","TCD_1_3_f_6","TCD_1_3_f_7","TCD_1_3_f_8","TCD_1_3_f_9","TCD_1_3_m_1","TCD_1_3_m_10","TCD_1_3_m_11","TCD_1_3_m_12","TCD_1_3_m_13","TCD_1_3_m_14","TCD_1_3_m_15","TCD_1_3_m_16","TCD_1_3_m_17","TCD_1_3_m_18","TCD_1_3_m_19","TCD_1_3_m_2","TCD_1_3_m_20","TCD_1_3_m_3","TCD_1_3_m_4","TCD_1_3_m_5","TCD_1_3_m_6","TCD_1_3_m_7","TCD_1_3_m_8","TCD_1_3_m_9","TCD_3_3_f_1","TCD_3_3_f_10","TCD_3_3_f_11","TCD_3_3_f_12","TCD_3_3_f_13","TCD_3_3_f_15","TCD_3_3_f_16","TCD_3_3_f_17","TCD_3_3_f_18","TCD_3_3_f_19","TCD_3_3_f_2","TCD_3_3_f_20","TCD_3_3_f_3","TCD_3_3_f_4","TCD_3_3_f_5","TCD_3_3_f_6","TCD_3_3_f_7","TCD_3_3_f_8","TCD_3_3_f_9","TCD_3_3_m_1","TCD_3_3_m_10","TCD_3_3_m_11","TCD_3_3_m_12","TCD_3_3_m_13","TCD_3_3_m_14","TCD_3_3_m_15","TCD_3_3_m_17","TCD_3_3_m_18","TCD_3_3_m_19","TCD_3_3_m_2","TCD_3_3_m_20","TCD_3_3_m_3","TCD_3_3_m_4","TCD_3_3_m_5","TCD_3_3_m_6","TCD_3_3_m_7","TCD_3_3_m_8","TCD_3_3_m_9"
1,1.48333333333333,0.573333333333333,0.333333333333333,1.17222222222222,0.906060606060606,1.33333333333333,NA,0.5,0.483333333333333,0.533333333333333,2.33333333333333,0.786666666666667,0.55,0.433333333333333,1.075,0.718518518518519,0.82,1.92222222222222,NA,0.5,0.433333333333333,NA,0.819047619047619,NA,1.18518518518519,0.583333333333333,2.78333333333333,0.4,2.18,2.6,2.13333333333333,0.466666666666667,1.33333333333333,0.783333333333333,0.713333333333333,0.466666666666667,1.46666666666667,0.566666666666667,1.21333333333333,NA,1.08888888888889,0.333333333333333,1,11.6333333333333,1.27777777777778,0.671428571428571,0.719047619047619,NA,0.979166666666667,0.6125,0.928571428571429,0.75,0.5,2.56666666666667,0.647619047619048,1.11111111111111,0.686666666666667,0.716666666666667,0.973333333333333,0.766666666666667,0.533333333333333,0.483333333333333,0.542424242424242,0.55,0.6,0.406666666666667,0.5,0.6,0.5,1.36666666666667,0.633333333333333,2.73611111111111,0.427777777777778,0.895833333333333,0.694444444444444,0.733333333333333,0.927272727272727,1.775
2,49.8333333333333,0.711111111111111,NA,NA,2.61515151515152,0.933333333333333,NA,1.13333333333333,0.533333333333333,0.366666666666667,1.13333333333333,0.566666666666667,1,NA,0.85,0.724074074074074,0.575,1.62,NA,NA,NA,7.43333333333333,3.20416666666667,5.74444444444444,1.02,0.39047619047619,NA,NA,2.92222222222222,1.11388888888889,0.942857142857143,NA,0.79047619047619,NA,1.36944444444444,0.933333333333333,0.819047619047619,0.988888888888889,1.44166666666667,NA,1.91904761904762,0.837037037037037,7.91666666666667,0.733333333333333,3.13333333333333,1.33333333333333,4.1,1.6,0.541666666666667,1.51666666666667,8.16666666666667,2.13333333333333,NA,NA,1.13888888888889,3.71515151515152,4.22666666666667,18.8,NA,0.933333333333333,0.677777777777778,0.566666666666667,0.513333333333333,1.82051282051282,1.43333333333333,0.75,0.491666666666667,0.633333333333333,1.6047619047619,1.08888888888889,2.98888888888889,1.30555555555556,0.61025641025641,0.861538461538461,0.591666666666667,0.751851851851852,0.758333333333333,6.12083333333333
3,60,1.6625,NA,NA,36.1666666666667,NA,NA,NA,NA,1.28888888888889,8.025,NA,2.86666666666667,NA,NA,1.83333333333333,0.866666666666667,NA,NA,NA,NA,NA,2.41666666666667,14.4333333333333,NA,1.30909090909091,NA,NA,NA,0.953333333333333,2.83333333333333,1.93333333333333,3.08571428571429,NA,6.26666666666667,1.34166666666667,3.48095238095238,NA,NA,NA,3.79259259259259,0.633333333333333,21.0083333333333,2.3125,NA,1.20666666666667,60,NA,1.04,4.48666666666667,60,4.96666666666667,NA,NA,2.61428571428571,3.32083333333333,60,NA,NA,NA,0.6,0.833333333333333,4.18,0.6375,2.25555555555556,0.666666666666667,0.462962962962963,0.466666666666667,1.21666666666667,0.633333333333333,0.658333333333333,0.544444444444444,0.626666666666667,1.73888888888889,0.838095238095238,0.483333333333333,6.05333333333333,24.7133333333333
4,18.2222222222222,1.525,NA,NA,11.5666666666667,2.23333333333333,NA,1.38333333333333,NA,NA,5.68333333333333,NA,5.64814814814815,1.97333333333333,NA,NA,1.2,NA,NA,NA,NA,NA,0.433333333333333,10.25,0.85,3.08,2.61666666666667,NA,3.95,0.703921568627451,28.9166666666667,3.33333333333333,0.7,NA,6.0962962962963,2.52962962962963,1.31666666666667,1.14666666666667,3.91481481481481,NA,13.3444444444444,NA,26.8166666666667,3.96666666666667,NA,7.27333333333333,9.67222222222222,2.36666666666667,0.766666666666667,2.76,60.0333333333333,NA,NA,NA,60,31.2,60.0333333333333,NA,NA,NA,1.37142857142857,0.344444444444444,0.7875,0.561904761904762,0.571428571428571,0.427777777777778,0.513333333333333,10.9333333333333,1.625,0.633333333333333,0.61025641025641,2.03333333333333,0.59,0.716666666666667,2.19393939393939,0.738095238095238,3.63137254901961,13.3142857142857
5,28.5166666666667,0.725,NA,NA,12.3777777777778,NA,NA,NA,NA,NA,19.2666666666667,NA,59.9666666666667,0.7,1.56666666666667,4.36666666666667,1.4,NA,NA,NA,NA,NA,0.483333333333333,4.05238095238095,NA,2.4,1.46666666666667,NA,5.75555555555556,0.935555555555556,4.82,3.82380952380952,NA,NA,7.97142857142857,NA,NA,3.71111111111111,NA,NA,1.36296296296296,NA,32.8833333333333,2.85,1.98333333333333,9.22666666666667,20.8777777777778,NA,NA,0.588888888888889,17.8916666666667,NA,NA,4.45238095238095,10.7666666666667,60,60,0.583333333333333,1.89166666666667,5.325,1.23333333333333,0.755555555555556,0.572222222222222,0.44,0.404761904761905,1.425,0.9,4.19583333333333,0.458333333333333,0.5,0.422222222222222,0.733333333333333,0.76,3.22,2.21666666666667,0.56,12.1083333333333,15.2388888888889
6,1.25,7.30833333333333,NA,0.766666666666667,7.96111111111111,NA,NA,NA,NA,8.40833333333333,4.9,NA,6.86666666666667,NA,NA,14.95,NA,NA,NA,NA,0.588888888888889,NA,0.741666666666667,8.84444444444444,1.08333333333333,NA,NA,NA,NA,0.6,4.53939393939394,6.33333333333333,2.63333333333333,NA,58.8,1.25,NA,3.82380952380952,0.7,NA,NA,NA,58.2166666666667,8.36666666666667,1.62666666666667,2.02333333333333,32.3555555555556,4.01666666666667,NA,1.28888888888889,8.03333333333333,2.06666666666667,6.14,3.2,10.1133333333333,2.52222222222222,19.7777777777778,3.225,6.53333333333333,0.573333333333333,23.05,0.40952380952381,0.508333333333333,0.59047619047619,0.473333333333333,0.471428571428571,0.514285714285714,4.53333333333333,0.675,NA,NA,1.36333333333333,NA,11.0277777777778,NA,8.6,0.643589743589744,17.3555555555556
7,NA,45.2666666666667,0.572222222222222,4.97407407407407,3.26060606060606,4.08333333333333,NA,2.14666666666667,NA,60,NA,NA,1.56666666666667,NA,NA,59.9,NA,NA,0.86,NA,0.966666666666667,NA,0.987179487179487,3.49259259259259,7.05,1.18333333333333,3.68095238095238,NA,9.52222222222222,1.50666666666667,8.02380952380952,3.25833333333333,9.29166666666667,NA,59.9,0.616666666666667,NA,2.95,1.40769230769231,1.83333333333333,18.9,NA,8.64583333333333,26.0666666666667,NA,4.88333333333333,5.7952380952381,NA,NA,13.7,NA,1.59583333333333,44.9666666666667,NA,28.3666666666667,NA,6.24444444444444,59.8333333333333,NA,1.93333333333333,0.955555555555555,NA,0.366666666666667,0.873333333333333,0.6875,0.4,0.52,0.6,0.833333333333333,NA,NA,6.19166666666667,2.03333333333333,18.8166666666667,NA,NA,1.31111111111111,18.3888888888889
8,NA,0.866666666666667,NA,18.3333333333333,5.96666666666667,NA,NA,10.38,NA,60,NA,NA,2.29791666666667,NA,NA,57.9666666666667,NA,NA,29.0666666666667,NA,NA,1.02222222222222,3.14444444444444,5.04285714285714,49.4333333333333,NA,3.77777777777778,NA,2.12222222222222,3.52083333333333,60,5.47222222222222,0.738095238095238,2.46666666666667,6.81666666666667,NA,NA,NA,0.766666666666667,0.7,60,NA,8.09583333333333,10.1,1.3,4.62444444444444,1.16666666666667,4.94761904761905,1.1,3.7,24.4,1.80666666666667,NA,1.31666666666667,60.0333333333333,1.3,1.76666666666667,9.35833333333333,NA,1.04444444444444,0.538888888888889,0.428571428571429,0.55,0.688888888888889,0.428571428571429,1.26666666666667,NA,NA,0.62,0.445833333333333,NA,60.1333333333333,NA,2.54761904761905,1.01666666666667,0.866666666666667,0.580952380952381,59.8
9,NA,NA,NA,4.25185185185185,4.58095238095238,NA,NA,11.9333333333333,NA,51.1,NA,NA,NA,NA,0.333333333333333,58.4666666666667,NA,NA,25.7166666666667,NA,NA,NA,0.791666666666667,4.20833333333333,6.36969696969697,NA,4.94,NA,7.50833333333333,0.65,16.4833333333333,55.3,0.533333333333333,NA,NA,28.5333333333333,1.27777777777778,19.5,NA,1.5,60,NA,4.57916666666667,18.8222222222222,NA,59.9666666666667,NA,3.49444444444444,1.93333333333333,1.88518518518519,4.48125,NA,NA,NA,19.2,NA,7.71333333333333,16.9222222222222,3.23333333333333,4.83333333333333,0.885714285714286,0.427777777777778,1.01818181818182,0.433333333333333,0.422222222222222,2.64814814814815,NA,NA,0.561904761904762,0.383333333333333,1.03333333333333,22.2666666666667,NA,1.51666666666667,0.784615384615385,NA,NA,25.8666666666667
10,NA,0.7,1.43333333333333,NA,5.4,NA,0.333333333333333,5.23333333333333,NA,6.04166666666667,NA,1.1,1.4952380952381,NA,NA,6.02222222222222,0.666666666666667,NA,6.86666666666667,NA,NA,NA,1.16666666666667,10.6416666666667,2.58333333333333,1.34358974358974,1.54871794871795,1.30980392156863,0.522222222222222,1.95333333333333,59.9333333333333,60.0333333333333,0.805555555555556,NA,17.1111111111111,19.4111111111111,3.04444444444444,6.2,NA,0.566666666666667,60.0333333333333,NA,2.21666666666667,2.31666666666667,4.14666666666667,29.3,5.6,NA,0.916666666666667,41.7333333333333,2.81666666666667,0.833333333333333,47.4,27.0666666666667,43.8666666666667,NA,24.9,9.6,1.21111111111111,60.0333333333333,6.00833333333333,0.611111111111111,0.511111111111111,0.516666666666667,0.566666666666667,0.441666666666667,NA,NA,0.366666666666667,0.406666666666667,0.377777777777778,0.366666666666667,NA,60.0333333333333,0.466666666666667,NA,NA,11.4466666666667
11,0.516666666666667,0.833333333333333,4.47777777777778,0.4,16.6777777777778,0.616666666666667,0.566666666666667,NA,NA,1.1,NA,8.85833333333333,2.08333333333333,NA,NA,4.77333333333333,10.4166666666667,NA,NA,NA,NA,1.04166666666667,0.877777777777778,5.19333333333333,7.93888888888889,1.42666666666667,0.58,3.17017543859649,1.33333333333333,11.4333333333333,3.24222222222222,7.20277777777778,2.56363636363636,4,59.9666666666667,2.31666666666667,58.6,18,NA,0.416666666666667,59.9666666666667,NA,1.42,16.3111111111111,1,1.6,30.8666666666667,NA,1.86,4.92051282051282,3.72666666666667,5.0875,28.0333333333333,8.61851851851852,0.433333333333333,6.44285714285714,25.45,NA,NA,15.2833333333333,6.66666666666667,0.383333333333333,0.533333333333333,0.733333333333333,0.65,4.67777777777778,NA,NA,0.748484848484849,0.35,0.614814814814815,NA,NA,27.95,NA,NA,0.638095238095238,2.42105263157895
12,NA,23.8,7.13333333333333,NA,17.8190476190476,1.10833333333333,NA,1.66666666666667,NA,NA,0.583333333333333,11.825,2.03611111111111,NA,0.722222222222222,5.62,7.98888888888889,NA,NA,NA,NA,NA,0.733333333333333,16.9,2.23333333333333,1.21111111111111,NA,8.575,NA,NA,NA,8.73809523809524,1.66666666666667,NA,60.0333333333333,1.06111111111111,1.25,NA,0.506666666666667,NA,29.8666666666667,NA,4.85333333333333,2.67083333333333,0.733333333333333,NA,32.6166666666667,0.616666666666667,5.25,13.6333333333333,11,4.3625,0.483333333333333,9.15,1.33333333333333,32.0666666666667,31.7,NA,NA,19.9333333333333,19.3333333333333,0.4,NA,1.00666666666667,NA,1.47037037037037,NA,NA,0.509090909090909,1.86666666666667,0.39047619047619,1.1875,NA,7.81333333333333,NA,NA,0.4375,0.516666666666667
13,0.883333333333333,59.9666666666667,9.88888888888889,NA,3.5047619047619,1.16666666666667,4.00555555555556,NA,NA,NA,0.525,NA,3.07037037037037,NA,1.18888888888889,1.73333333333333,1.78888888888889,0.533333333333333,NA,NA,NA,NA,NA,2.62222222222222,7,0.7375,0.65,9.74444444444444,9.94,1.68888888888889,0.833333333333333,3.03555555555556,1.88888888888889,NA,7.6,0.808333333333333,NA,1.34285714285714,0.55,NA,59.9666666666667,NA,10.7266666666667,12.5,0.866666666666667,2.2,3.49298245614035,6.825,0.65,12.3333333333333,3.45098039215686,1.81666666666667,19.4222222222222,20.7166666666667,10.4333333333333,6.68571428571429,59.5666666666667,1.4047619047619,NA,NA,29.9166666666667,0.516666666666667,0.433333333333333,1.35,2.56666666666667,0.591666666666667,0.466666666666667,0.4,0.416666666666667,NA,0.533333333333333,0.458333333333333,0.746666666666667,6.7,NA,3.48333333333333,0.433333333333333,0.530769230769231
