Temp,Min,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:05,18:35
16,1,0.79794778,0.230225197,0.667245036,0.8217792,0.468437293,1.752650928,0.19811741,0.46231305,0.292964263,0.353977767,0.220923794,0.557658644,1.058337276,0.395690957,0.489895033,1.276440939,1.026665831,1.052875881,0.576152118,1.596811173
16,2,0.599859066,0.137019016,0.03785965,0.030459244,0.178374519,0.3089399,0.347076281,0.191522879,0.22628781,0.20789159,0.052745025,0.144280156,0.373629244,0.10431378,0.008047765,1.176538983,0.483373885,0.456314508,0.139532807,0.870567954
16,3,0.044613619,0.163930372,0.0646905,0.009688654,0.216096548,0.048076226,0.351518071,0.06386015,0.010499944,0.070322529,0.040967421,0.024606937,0.158905175,0.005447253,0.080231251,1.453289083,0.100925447,0.776732367,0.05189672,0.976950723
16,4,0.01856945,0.027314758,0.038742351,0.005117576,0.220941611,0.037799144,0.322619144,0.005751656,0.008174058,0.187266648,0.1522608,0.008407676,0.274337387,0.148967179,0.197895775,1.130441134,0.010628438,0.542843969,0.060736909,0.169429636
16,5,0.04959607,0.022897792,0.045451479,0.009086576,0.342186409,0.038841718,0.12209685,0.090799055,0.006337793,0.036927608,0.140794614,0.013396743,0.004759861,0.024025381,0.024525892,0.341851879,0.003165214,0.355923891,0.074882335,0.333158794
16,6,0.019844202,0.002272513,0.09156224,0.064817432,0,0.040598538,0.209156331,0.039298289,0.249113163,0.044435809,0.013370267,0.000923913,0.413524208,0.12495084,0.127622513,0.026213847,0,0.412413824,0.048837506,0.091692292
16,7,0.035827258,0.155612996,0.021423641,0.037969828,0.001219477,0.009502507,0.073977621,0.035296509,0.46994637,0.03649866,0.010088011,0,0.392167319,0,0.133317115,0.049054125,0.037621673,0.003697171,0.018226409,0.334848243
16,8,0.77854194,0.065220283,0.034618021,0.015405653,0.007864903,0.003223402,0.017951234,0.040326053,0.041170834,0.058360834,0.32953791,0.007695,0.652451651,0.001043537,0.054591212,0.180758977,0.101642107,0.000440795,0.009027554,0.020952268
18,9,0.035188316,0.153140717,0.2280703,0.067496354,0.052672852,0.003823352,0.168963491,0.104664477,0.249938955,0.02000124,0.170895331,0.628895542,0.182281701,0.046039727,0.010056852,0.155087843,0.284125959,0.007617921,0.151191384,0.00246279
20,10,0.002811223,0.014804013,0.049818878,0.027886589,0.36517667,0.00374731,1.32307378,0.003812535,0.130787854,0.374704091,0.432870289,0.006847054,0.180623079,0.80253886,0.195138966,0.572251912,0.429173218,0,0.910957343,0.00523343
22,11,0.45659114,0.000306715,0.212195459,0.013738121,0.837047664,0.001695309,1.096951323,0,0.021614464,0.081530812,0.135534469,0,0.065425695,0.175829622,0.013684903,0.269037871,0.046891873,0,0.165439377,0.61888731
24,12,0.267529011,0.423636843,1.109892968,0.014815136,0.971037026,0.337621851,1.297771061,0.008889933,0.867388805,0.304281401,0.53746483,0.003956076,0.021767626,0.059419527,0.003039394,0.302968506,0.001824514,0.893160439,0.367777098,1.016849755
26,13,0.107826346,1.080599377,0.801170878,0.009914369,0.903069272,0.323826665,1.505111334,0.931338632,0.662990122,0.020274727,1.275688872,0.520047499,0.730181039,0.307339833,0.990337904,0.319400139,0.84116876,0.12131955,0.838290206,0.655347132
28,14,0.734266476,0.196060217,0.391709277,0.361435236,0.129984369,0.749589605,1.967265297,1.142723897,0.774568777,0.440959883,0.915093858,0.909228627,1.004149466,0.731098875,0.537819989,1.5935101,0.086697221,0.853269166,1.5826306,0.635083813
30,15,1.261829505,0.946384364,1.464116298,1.172726715,0.982855053,0.283929266,1.818611617,0.94396677,1.07253244,0.786427882,1.019515642,0.432989439,1.461090645,0.660587997,1.256484703,0.384559366,1.398183513,1.642779561,1.004741146,1.002178221
32,16,1.333673952,1.369510923,1.076578899,1.302624391,1.895780917,0.137895436,1.888201217,1.671093207,1.185203452,1.678348227,1.348442023,1.300250544,1.766041051,1.682951803,1.0573304,1.454768772,0.472848855,1.692747792,1.251389605,2.144981672
34,17,1.241418788,1.295578538,0.476843685,1.42407423,1.643936026,0.01654751,2.096484969,1.836923218,0.208636298,1.030508722,1.846976448,0.843047254,1.888299588,1.738998063,1.454175342,1.203629411,1.283870078,0.877760406,1.645996281,2.200350456
36,18,1.356096426,2.011806948,0.126331545,1.334599711,1.705426487,0.026837904,1.83556363,1.607436331,0.003214844,1.659786129,1.613963041,1.908621857,1.90884662,1.530202581,1.351633596,1.724146064,1.874784864,1.610935197,1.937447532,2.079155926
38,19,2.129299188,1.696663496,0.025932062,1.257582501,1.848693218,0.02008383,2.095358494,1.491292924,0.004150106,0.877263941,1.532069622,1.785269088,1.629617009,1.265010568,1.252617503,1.844351568,0.011216993,1.740319622,1.534190067,1.559006087
40,20,1.392019339,1.383274019,0.19760398,1.318811317,1.030185489,0.000146365,1.396618788,0.769262168,0.010053685,1.315308566,1.025133374,1.072434422,1.255819333,1.719839688,0.984817337,1.147492262,0.009742179,0.625199633,1.006201634,1.337582301
42,21,0.320958972,0.195317465,0.025783076,0.161995514,0.015399855,0.571793118,0.079237075,0.025400562,0,0.341868827,0.170573446,0.069069177,0.345701484,0.205521519,0.330617376,0.168558482,0.001777382,0.063584325,0.234807065,0.111415864
44,22,0.016162412,0,0.308745853,0.01906478,0.010163413,0.007961379,0.014285464,0.006610728,0,0.034558371,0.001763135,0.013609416,0.023913858,0.003806146,0.012563385,0.007469266,0.0066332,0.010026289,0.014278677,0.003863889
46,23,0.012767665,0.011628883,0.426809283,0.002380667,0.004477593,0.002610267,0.017697894,0.008645272,0.036473761,0.010983552,0.005377237,0.006479389,0.008034564,0.009827492,0.007134497,0.015314742,0.009163897,0.008568293,0.005987893,0.005412752
