frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,360,230
7,0,0,360,231
8,0,0,363,233
9,0,0,364,232
10,0,0,365,232
11,0,0,368,233
12,0,0,368,232
13,0,0,367,231
14,0,0,368,229
15,0,0,368,229
16,0,0,370,230
17,0,0,371,229
18,0,0,373,228
19,0,0,374,229
20,0,0,375,230
21,0,0,376,231
22,0,0,377,231
23,0,0,377,232
24,0,0,378,232
25,0,0,379,232
26,0,0,429,179
27,0,0,429,178
28,0,0,430,178
29,0,0,430,177
30,0,0,431,176
31,0,0,432,177
32,0,0,433,177
33,0,0,434,177
34,0,0,435,179
35,0,0,436,180
36,0,0,437,180
37,0,0,438,181
38,0,0,438,181
39,0,0,445,178
40,0,0,448,179
41,0,0,447,179
42,0,0,445,177
43,0,0,444,177
44,0,0,444,177
45,0,0,457,158
46,0,0,457,158
47,0,0,458,158
48,0,0,458,158
49,0,0,458,158
50,0,0,458,158
51,0,0,459,158
52,0,0,458,157
53,0,0,458,156
54,0,0,459,156
55,0,0,459,156
56,0,0,459,156
57,0,0,491,116
58,0,0,578,19
59,0,0,578,19
60,0,0,579,19
61,0,0,579,19
62,0,0,579,19
63,0,0,579,19
64,0,0,579,19
65,0,0,457,144
66,0,0,460,144
67,0,0,462,145
68,0,0,460,143
69,0,0,451,157
70,0,0,448,157
71,0,0,453,144
72,0,0,454,141
73,0,0,454,140
74,0,0,454,142
75,0,0,460,140
76,0,0,465,135
77,0,0,464,135
78,0,0,463,136
79,0,0,462,136
80,0,0,462,135
81,0,0,462,135
82,0,1,461,135
83,0,1,460,135
84,0,1,458,136
85,0,1,457,135
86,0,1,456,135
87,0,1,454,135
88,0,1,452,135
89,0,1,450,134
90,0,1,449,133
91,0,1,448,133
92,0,1,445,133
93,0,1,443,133
94,0,1,441,132
95,0,1,440,132
96,0,1,439,132
97,0,1,438,131
98,0,1,435,129
99,0,1,433,129
100,0,1,431,128
101,0,1,431,128
102,0,1,430,127
103,0,1,429,127
104,0,1,428,126
105,0,1,427,126
106,0,1,415,136
107,0,1,413,136
108,0,1,413,135
109,0,1,412,135
110,0,1,411,135
111,0,1,411,135
112,0,1,410,135
113,0,1,409,135
114,0,1,407,135
115,0,1,407,134
116,0,1,406,133
117,0,1,405,133
118,0,1,402,133
119,0,1,401,133
120,0,1,399,134
121,0,1,398,133
122,0,1,398,133
123,0,1,398,133
124,0,1,398,134
125,0,1,396,134
126,0,1,395,133
127,0,1,393,133
128,0,1,392,132
129,0,1,391,132
130,0,1,391,131
131,0,1,389,132
132,0,1,386,133
133,0,1,386,133
134,0,1,386,133
135,0,1,384,133
136,0,1,382,133
137,0,1,380,132
138,0,1,379,132
139,0,1,377,131
140,0,1,376,131
141,0,1,374,131
142,0,1,373,131
143,0,1,372,131
144,0,1,371,132
