frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,615,35
7,0,0,614,37
8,0,0,611,38
9,0,0,609,39
10,0,0,608,39
11,0,0,608,37
12,0,0,608,37
13,0,0,608,36
14,0,0,607,36
15,0,0,606,37
16,0,0,606,37
17,0,0,606,36
18,0,0,606,36
19,0,0,603,36
20,0,0,600,39
21,0,0,598,41
22,0,0,595,42
23,0,0,593,45
24,0,0,591,46
25,0,0,588,48
26,0,0,586,51
27,0,0,582,55
28,0,0,581,57
29,0,0,578,60
30,0,0,576,64
31,0,0,574,68
32,0,0,574,69
33,0,0,574,69
34,0,0,574,68
35,0,0,575,67
36,0,0,574,68
37,0,0,574,67
38,0,0,574,67
39,0,0,575,67
40,0,0,574,67
41,0,0,572,68
42,0,0,572,68
43,0,0,572,67
44,0,1,572,67
45,0,1,571,68
46,0,1,569,70
47,0,1,567,71
48,0,1,565,72
49,0,1,563,74
50,0,1,561,74
51,0,1,560,75
52,0,1,559,76
53,0,1,557,78
54,0,1,557,79
55,0,1,555,79
56,0,1,553,81
57,0,1,552,82
58,0,1,551,83
59,0,1,550,84
60,0,1,549,84
61,0,1,549,83
62,0,1,550,83
63,0,1,550,83
64,0,1,550,84
65,0,1,549,84
66,0,1,548,85
67,0,1,548,86
68,0,1,547,86
69,0,1,543,88
70,0,1,541,88
71,0,1,538,88
72,0,1,535,89
73,0,1,534,88
74,0,1,531,88
75,0,1,528,88
76,0,1,525,90
77,0,1,521,90
78,0,1,518,91
79,0,1,514,91
80,0,1,511,91
81,0,1,507,91
82,0,1,502,91
83,0,1,499,91
84,0,1,495,91
85,0,1,491,92
86,0,1,488,92
87,0,1,482,92
88,0,1,477,92
89,0,1,471,92
90,0,1,469,93
91,0,1,464,93
92,0,1,461,94
93,0,1,459,94
94,0,1,456,95
95,0,1,452,94
96,0,1,447,94
97,0,1,444,93
98,0,1,442,92
99,0,1,440,92
100,0,1,439,91
101,0,1,436,90
102,0,1,434,87
103,0,1,431,86
104,0,1,429,85
105,0,1,426,84
106,0,1,422,84
107,0,1,419,83
108,0,1,415,82
109,0,1,412,81
110,0,1,407,81
111,0,1,403,80
112,0,1,399,80
113,0,1,395,78
114,0,1,392,78
115,0,1,388,77
116,0,1,385,76
117,0,1,382,74
118,0,1,378,73
119,0,1,374,72
120,0,1,371,72
121,0,1,368,70
122,0,1,368,70
123,0,1,367,71
124,0,1,363,70
125,0,1,362,70
126,0,1,360,70
127,0,1,358,70
128,0,1,356,70
129,0,1,355,71
130,0,1,353,71
131,0,1,354,71
132,0,1,353,72
133,0,1,351,73
134,0,1,349,73
135,0,1,348,73
136,0,1,346,73
137,0,1,344,73
138,0,1,342,73
139,0,1,340,73
140,0,1,337,73
141,0,1,334,74
142,0,1,332,74
143,0,1,328,74
144,0,1,325,74
145,0,1,323,74
146,0,1,319,75
147,0,1,316,75
148,0,1,314,74
149,0,1,308,74
150,0,1,305,73
151,0,1,305,72
152,0,1,305,72
153,0,1,305,72
154,0,1,304,72
155,0,1,301,73
156,0,1,300,74
157,0,1,299,74
158,0,1,297,75
159,0,1,296,75
160,0,1,294,75
161,0,1,291,75
162,0,1,289,75
163,0,1,288,75
164,0,1,284,75
165,0,1,280,76
166,0,1,278,76
167,0,1,272,78
168,0,1,270,77
169,0,1,267,78
170,0,1,264,78
171,0,1,262,79
172,0,1,260,79
173,0,1,258,79
174,0,1,254,79
175,0,1,254,78
176,0,1,253,78
177,0,1,252,78
178,0,1,250,78
179,0,1,248,77
180,0,1,246,77
181,0,1,243,77
182,0,1,242,77
183,0,1,241,77
184,0,1,239,77
185,0,1,238,76
186,0,1,236,76
187,0,1,233,76
188,0,1,230,76
189,0,1,229,76
190,0,1,228,76
191,0,1,227,76
192,0,1,224,77
193,0,1,224,77
194,0,1,221,77
195,0,1,220,77
196,0,1,218,77
197,0,1,216,77
198,0,1,215,77
199,0,1,214,77
200,0,1,214,77
201,0,1,213,78
202,0,1,212,79
203,0,1,212,79
204,0,1,210,80
205,0,1,209,81
206,0,1,208,81
207,0,1,208,81
208,0,1,209,81
209,0,1,208,81
210,0,1,208,81
211,0,1,208,81
212,0,1,208,80
213,0,1,206,80
214,0,1,206,80
215,0,1,207,80
216,0,1,207,80
217,0,1,205,80
218,0,1,203,80
219,0,1,202,78
220,0,1,201,78
221,0,1,200,77
222,0,1,198,76
223,0,1,197,75
224,0,1,195,75
225,0,1,193,74
226,0,1,191,73
227,0,1,188,73
228,0,1,186,72
229,0,1,182,71
230,0,1,180,71
231,0,1,179,69
232,0,1,176,68
233,0,1,173,67
234,0,1,168,66
235,0,1,165,66
236,0,1,161,65
237,0,1,157,63
238,0,1,150,63
239,0,1,146,62
240,0,1,142,61
241,0,1,138,60
242,0,1,134,59
243,0,1,131,59
244,0,1,127,59
245,0,1,124,59
246,0,1,122,58
247,0,1,119,57
248,0,1,117,56
249,0,1,115,56
250,0,1,112,56
251,0,1,109,55
252,0,1,106,55
253,0,1,102,53
254,0,1,99,53
255,0,1,94,52
256,0,1,90,52
257,0,1,85,51
258,0,1,81,50
259,0,1,78,49
260,0,1,76,49
261,0,1,71,49
262,0,1,69,49
263,0,1,64,48
264,0,1,61,47
265,0,1,57,47
266,0,1,54,47
267,0,1,52,48
268,0,1,51,48
269,0,1,51,48
270,0,1,50,48
271,0,1,42,48
272,0,1,51,46
273,0,1,54,47
274,0,1,52,48
275,0,1,50,48
276,0,1,48,48
277,0,1,34,50
278,0,1,31,50
279,0,1,29,50
280,0,1,27,50
281,0,1,24,49
282,0,1,22,48
283,0,1,21,48
284,0,1,20,47
285,0,1,20,47
286,0,1,20,47
287,0,1,20,47
288,0,1,20,47
289,0,1,20,46
290,0,1,21,46
291,0,1,22,46
292,0,1,22,45
293,0,1,22,45
294,0,1,22,45
295,0,1,22,45
296,0,1,22,45
297,0,1,22,45
298,0,1,22,45
299,0,1,22,45
300,0,1,22,45
301,0,1,22,45
302,0,1,22,45
303,0,1,22,45
304,0,1,22,45
305,0,1,22,45
306,0,1,22,45
307,0,1,22,45
308,0,1,22,45
309,0,1,22,45
310,0,1,22,45
311,0,1,22,45
312,0,1,22,45
313,0,1,22,45
314,0,1,22,45
315,0,1,22,45
316,0,1,22,44
317,0,1,22,44
318,0,1,22,44
319,0,1,22,44
320,0,1,22,44
321,0,1,22,44
322,0,1,22,44
323,0,1,22,44
324,0,1,22,44
325,0,1,23,44
326,0,1,22,44
327,0,1,22,44
328,0,1,22,44
329,0,1,23,44
330,0,1,23,44
331,0,1,22,44
332,0,1,23,44
333,0,1,23,44
334,0,1,23,44
335,0,1,23,44
336,0,1,23,44
337,0,1,23,44
338,0,1,23,44
339,0,1,22,44
340,0,1,22,44
341,0,1,23,44
342,0,1,23,44
343,0,1,23,44
344,0,1,23,44
345,0,1,23,44
346,0,1,23,44
347,0,1,23,44
348,0,1,23,45
349,0,1,22,45
350,0,1,22,45
351,0,1,22,45
352,0,1,23,45
353,0,1,23,45
354,0,1,22,45
355,0,1,22,45
356,0,1,22,45
357,0,1,11,47
358,0,1,11,47
359,0,1,11,47
360,0,1,11,47
361,0,1,11,47
362,0,1,11,47
363,0,1,11,47
364,0,1,11,47
365,0,1,11,47
366,0,1,11,47
367,0,1,11,47
368,0,1,11,47
369,0,1,10,46
370,0,1,10,45
371,0,1,9,44
372,0,1,8,42
373,0,1,7,39
374,0,1,6,39
375,0,1,7,36
376,0,1,6,32
377,0,1,6,29
378,0,1,7,26
379,0,1,8,25
380,0,1,8,24
381,0,1,8,22
382,0,1,9,19
383,0,1,12,16
384,0,1,14,14
385,0,1,15,13
386,0,1,15,13
387,0,1,16,13
388,0,1,18,13
389,0,1,18,12
390,0,1,18,12
391,0,1,22,11
392,0,1,26,10
393,0,1,26,10
394,0,1,26,10
395,0,1,26,10
396,0,1,26,10
397,0,1,26,10
398,0,1,68,10
399,0,1,71,11
400,0,1,75,12
401,0,1,70,12
402,0,1,74,13
403,0,1,76,13
404,0,1,78,14
405,0,1,81,15
406,0,1,85,15
407,0,1,90,16
408,0,1,94,16
409,0,1,98,19
410,0,1,102,21
411,0,1,108,23
412,0,1,110,24
413,0,1,115,26
414,0,1,118,27
415,0,1,123,28
416,0,1,127,29
417,0,1,131,32
418,0,1,134,34
419,0,1,139,37
420,0,1,144,39
421,0,1,149,42
422,0,1,153,44
423,0,1,159,47
424,0,1,162,48
425,0,1,166,51
426,0,1,169,54
427,0,1,174,56
428,0,1,180,60
429,0,1,185,62
430,0,1,191,65
431,0,1,193,67
432,0,1,197,69
433,0,1,203,72
434,0,1,209,74
435,0,1,214,76
436,0,1,220,79
437,0,1,226,82
438,0,1,232,86
439,0,1,237,89
440,0,1,242,92
441,0,1,248,94
442,0,1,251,97
443,0,1,255,97
444,0,1,259,98
445,0,1,262,98
446,0,1,268,99
447,0,1,271,99
448,0,1,273,99
449,0,1,276,99
450,0,1,280,100
451,0,1,283,99
452,0,1,286,100
453,0,1,289,100
454,0,1,293,101
455,0,1,294,101
456,0,1,296,102
457,0,1,297,101
458,0,1,299,101
459,0,1,301,102
460,0,1,303,103
461,0,1,307,104
462,0,1,309,106
463,0,1,309,106
464,0,1,311,108
465,0,1,311,109
466,0,1,312,109
467,0,1,311,109
468,0,1,311,109
469,0,1,311,109
470,0,1,311,109
471,0,1,311,109
472,0,1,312,109
473,0,1,314,110
474,0,1,314,111
475,0,1,315,112
476,0,1,317,113
477,0,1,318,114
478,0,1,320,116
479,0,1,322,118
480,0,1,323,119
481,0,1,323,120
482,0,1,324,121
483,0,1,324,121
484,0,1,325,122
485,0,1,326,123
486,0,1,326,123
487,0,1,327,123
488,0,1,328,124
489,0,1,329,124
490,0,1,330,125
491,0,1,331,126
492,0,1,331,126
493,0,1,331,126
494,0,1,331,126
495,0,1,331,126
496,0,1,331,126
497,0,1,355,171
498,0,1,355,171
499,0,1,355,171
500,0,1,355,171
501,0,1,355,171
502,0,1,355,171
503,0,1,355,171
504,0,1,355,171
505,0,1,355,171
506,0,1,355,171
507,0,1,355,171
508,0,1,355,171
509,0,1,355,171
510,0,1,355,171
511,0,1,355,171
512,0,1,355,171
513,0,1,355,171
514,0,1,355,171
515,0,1,355,171
516,0,1,355,171
517,0,1,355,171
518,0,1,355,171
519,0,1,355,171
520,0,1,355,171
521,0,1,355,171
522,0,1,355,171
523,0,1,355,171
524,0,1,355,171
525,0,1,355,171
526,0,1,355,171
527,0,1,355,171
528,0,1,355,171
529,0,1,355,171
530,0,1,355,171
531,0,1,355,171
532,0,1,355,171
533,0,1,355,171
534,0,1,355,171
535,0,1,355,171
536,0,1,355,171
537,0,1,355,171
538,0,1,355,171
539,0,1,355,171
540,0,1,355,171
541,0,1,355,171
542,0,1,355,171
543,0,1,355,171
544,0,1,355,171
545,0,1,355,171
546,0,1,355,171
547,0,1,355,171
548,0,1,355,171
549,0,1,355,171
550,0,1,355,171
551,0,1,355,171
552,0,1,355,171
553,0,1,355,171
554,0,1,355,171
555,0,1,355,171
556,0,1,355,171
557,0,1,355,171
558,0,1,355,171
559,0,1,355,171
560,0,1,355,171
561,0,1,354,172
562,0,1,353,173
563,0,1,352,174
564,0,1,351,173
565,0,1,351,172
566,0,1,351,172
567,0,1,351,172
568,0,1,351,171
569,0,1,351,170
570,0,1,351,171
571,0,1,351,172
572,0,1,352,173
573,0,1,352,174
574,0,1,353,174
575,0,1,354,176
576,0,1,356,178
577,0,1,357,179
578,0,1,358,180
579,0,1,358,180
580,0,1,358,180
581,0,1,358,180
582,0,1,358,180
583,0,1,358,180
584,0,1,358,180
585,0,1,358,180
586,0,1,358,180
587,0,1,358,180
588,0,1,358,180
589,0,1,358,180
590,0,1,358,180
591,0,1,354,173
592,0,1,354,173
593,0,1,354,173
594,0,1,354,173
595,0,1,354,173
596,0,1,354,173
597,0,1,354,173
598,0,1,354,173
599,0,1,354,173
600,0,1,354,173
601,0,1,354,173
602,0,1,354,173
603,0,1,354,173
604,0,1,354,173
605,0,1,354,173
606,0,1,354,173
607,0,1,354,173
608,0,1,354,173
609,0,1,354,173
610,0,1,354,173
611,0,1,354,173
612,0,1,354,173
613,0,1,354,173
614,0,1,354,173
615,0,1,354,173
616,0,1,354,173
617,0,1,354,173
618,0,1,354,173
619,0,1,354,173
620,0,1,354,173
621,0,1,354,173
622,0,1,354,173
623,0,1,354,173
624,0,1,354,173
625,0,1,354,173
626,0,1,354,173
627,0,1,354,173
628,0,1,354,173
629,0,1,354,173
630,0,1,354,173
631,0,1,354,173
632,0,1,354,173
633,0,1,354,173
634,0,1,354,173
635,0,1,354,173
636,0,1,354,173
637,0,1,354,173
638,0,1,354,173
639,0,1,354,173
640,0,1,354,173
641,0,1,354,173
642,0,1,354,173
643,0,1,354,173
644,0,1,354,173
645,0,1,354,173
646,0,1,354,173
647,0,1,354,173
