"frame_idx ""video"" ""phase"" ""fly"" ""x"" ""y"" ""fly_prev"" ""x_prev"" ""y_prev"" ""dist"" ""mutilple_matches"" ""different_match"""
"116 ""TC_Grp_3_f_18"" 1 ""0"" 518 200 ""2"" 525 205 8.60232526704263 0 1"
"125 ""TC_Grp_3_f_18"" 1 ""0"" 498 163 ""2"" 502 165 4.47213595499958 0 1"
"364 ""TC_Grp_3_f_18"" 1 ""0"" 447 34 ""1"" 466 40 19.9248588451713 0 1"
"373 ""TC_Grp_3_f_18"" 1 ""0"" 465 22 ""1"" 472 20 7.28010988928052 0 1"
"425 ""TC_Grp_3_f_18"" 1 ""0"" 376 103 ""2"" 382 96 9.21954445729289 0 1"
"540 ""TC_Grp_3_f_18"" 1 ""0"" 79 223 ""2"" 99 212 22.8254244210267 0 1"
"587 ""TC_Grp_3_f_18"" 1 ""0"" 389 240 ""2"" 356 229 34.7850542618522 0 1"
"596 ""TC_Grp_3_f_18"" 1 ""0"" 380 52 ""1"" 379 52 1 0 1"
"597 ""TC_Grp_3_f_18"" 1 ""0"" 382 45 ""1"" 380 41 4.47213595499958 0 1"
"598 ""TC_Grp_3_f_18"" 1 ""0"" 384 37 ""1"" 382 34 3.60555127546399 0 1"
"599 ""TC_Grp_3_f_18"" 1 ""0"" 386 30 ""1"" 384 27 3.60555127546399 0 1"
"709 ""TC_Grp_3_f_18"" 1 ""0"" 536 226 ""1"" 516 226 20 0 1"
"816 ""TC_Grp_3_f_18"" 1 ""0"" 727 184 ""1"" 711 182 16.1245154965971 1 1"
"911 ""TC_Grp_3_f_18"" 1 ""0"" 6 17 ""1"" 21 22 15.8113883008419 0 1"
"1146 ""TC_Grp_3_f_18"" 1 ""0"" 9 103 ""2"" 2 96 9.89949493661167 0 1"
"1178 ""TC_Grp_3_f_18"" 1 ""0"" 173 179 ""2"" 159 174 14.8660687473185 0 1"
"1179 ""TC_Grp_3_f_18"" 1 ""0"" 2 233 ""1"" 27 230 25.1793566240283 0 1"
"1189 ""TC_Grp_3_f_18"" 1 ""0"" 18 218 ""1"" 23 222 6.40312423743285 0 1"
"1190 ""TC_Grp_3_f_18"" 1 ""0"" 208 197 ""2"" 196 194 12.369316876853 0 1"
"1196 ""TC_Grp_3_f_18"" 1 ""0"" 2 237 ""1"" 25 224 26.4196896272458 0 1"
"1210 ""TC_Grp_3_f_18"" 1 ""0"" 241 209 ""2"" 230 206 11.4017542509914 0 1"
"1325 ""TC_Grp_3_f_18"" 1 ""0"" 15 199 ""1"" 48 232 46.6690475583121 0 1"
"1409 ""TC_Grp_3_f_18"" 1 ""0"" 535 11 ""2"" 532 22 11.4017542509914 0 1"
"1419 ""TC_Grp_3_f_18"" 1 ""0"" 32 39 ""1"" 49 232 193.747258045114 0 1"
"1440 ""TC_Grp_3_f_18"" 1 ""0"" 647 19 ""2"" 634 20 13.0384048104053 0 1"
