"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,2.36296807354702,2.4635816569885,2.38273316895961
2,2.73034855595455,1.04932593644247,1.93597886437086
3,2.26353141456879,1.35539074985917,2.03671795136721
4,2.22024703107738,1.34823122159132,2.21374875403959
5,1.82596903664013,1.34731978511493,2.18973179013455
6,1.75903764576801,1.55736298005433,2.64811813358326
7,1.75342858656799,1.69960364138062,2.52269481485851
8,1.75224664939072,1.7726860441205,2.23969122938749
9,1.75514330734012,1.77218957304492,2.65599421229561
10,1.71542421576482,1.67037469024627,2.342477103706
11,1.36469195761444,1.57113733733644,0.574412580999674
12,1.5630959427227,1.20428599519695,1.40148332415597
13,1.44757456630528,1.53551589789938,1.1216056459844
14,1.03956577967925,1.09930708234335,1.59988001271792
15,1.6155032936647,0.850978428902103,2.28365319469623
16,2.30834154013887,1.26992994275246,2.58719497811739
17,2.41199558088676,1.58784263747063,1.94665161229898
18,2.12575813021286,2.17034172924581,1.87756769191832
19,2.07456086360559,2.00924406536479,2.21199441232275
20,2.81581767379222,2.00158935159029,2.25708807073379
21,3.89331379987896,1.16224189560687,2.93066432220428
22,3.85314001007336,0.765465370106811,2.9791262539876
23,3.85189907376211,0.774483235075682,2.98732094758793
