"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,278.505603858105,268.905692308084
2,118.234933496693,217.531841401678
3,152.49655156437,230.782796309332
4,151.737424467705,248.757308154776
5,151.642666928819,246.362065930267
6,175.575247711894,297.962668981629
7,191.668061153979,284.489820077742
8,199.821549811802,252.541262692443
9,199.741196377532,298.943195045011
10,187.969076058321,264.206768978203
11,176.458593275273,64.8013672392911
12,134.945837376231,158.949947243644
13,174.540931830307,127.079013453788
14,125.543445303961,181.904667412659
15,96.931085593757,257.985767686288
16,145.393096197263,292.159785212928
17,180.06975332719,222.230917113781
18,247.068431573555,213.308814055943
19,228.184805199854,248.348081176533
20,224.790935968358,253.045916869499
21,132.511588815535,327.83220300425
22,85.1642415570524,333.312952300307
23,86.2036573767594,334.221327106913
