"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,2.64264885473194,2.66505140842629
2,0.951911081160062,1.3676027396046
3,1.0447730901877,2.2850967372478
4,1.06292267769939,1.54620993299809
5,1.06619325080161,1.68426348750874
6,1.38132528993551,2.15034350909069
7,1.53641841112292,2.20485587534696
8,1.55753518727328,2.00751281076322
9,1.54465728156028,2.10560529662986
10,1.28410697382835,2.29154361259544
11,1.05200144419636,0.531304011044677
12,0.647872223593739,1.7268368694338
13,1.92310633155797,1.24234610485961
14,1.62053670221025,2.11882574385945
15,1.17825516249105,2.55097304662947
16,1.95571702119119,2.56892093289921
17,2.04721239118749,2.48421236029005
18,2.77820539458538,2.23091703032127
19,2.48317094874898,2.11049293615886
20,1.91541215918085,1.60507528629148
21,1.79267002877732,1.28976611826224
22,0.10077677081974,1.34152849667908
23,0.120379048484344,1.34089825597938
