"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,6.86666761224614,6.44396095122006,6.28037138124076
2,5.41039559446411,1.95453974915744,5.71717276657101
3,4.35060519967525,1.95453974915744,6.52347437183915
4,4.81741962633322,1.95138129796591,5.60419017236465
5,2.80128033153059,1.95138129796591,4.37739580418071
6,2.65478543832857,2.56214062154374,5.71152698141034
7,2.64823493735328,2.57351925964391,6.71086517425754
8,2.72335949834529,2.65311873820963,5.58064297446458
9,2.6569704410017,2.65311873820963,5.41468422826099
10,4.51215566419501,2.85193125623123,6.17795379223614
11,1.86423369220467,2.45766029959436,1.3849575071047
12,1.70981402630376,2.30605995305883,5.20362887119218
13,3.91523073833933,5.35886874545251,5.26867612757954
14,4.91309096059817,5.13264520003596,5.97444032361389
15,4.3510529060356,3.4316756868389,6.68661490793624
16,6.69185647673853,5.97444032361389,6.62870247131442
17,6.67754773084789,6.84599923629715,6.57470663283529
18,6.88967755747939,6.48171120520772,6.61121938338524
19,6.45782582028472,6.93087953619158,5.91581911781908
20,6.92948002154885,5.28539448426641,4.79810719382698
21,5.84768660941446,3.83178476253015,3.98886527490168
22,5.74507831485026,0.832590367608074,3.98937392249494
23,5.74507831485026,0.852625482528349,3.98937392249494
