"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,186.639121653118,191.049057600668
2,69.8147447600837,100.320908889451
3,76.6467641803222,166.968501937706
4,77.9782563167866,113.528036012513
5,78.1963894977705,123.66440143978
6,101.336945551483,156.473509935496
7,108.42368763101,161.452067590667
8,114.327751012147,147.425814385562
9,113.319325996333,154.600762058503
10,93.7749835031239,168.174947848089
11,77.1770515224451,38.9993068425047
12,47.5292769378771,126.790285146266
13,139.700141116601,91.166536631262
14,118.26587587423,154.485501535212
15,85.9561166123721,183.970969404308
16,132.513358747302,181.213656447882
17,146.943651841452,175.361463746235
18,187.255989889479,156.974779604479
19,172.84368203566,150.91131354831
20,137.710008821694,114.659011162703
21,115.024615759666,94.6726987855264
22,6.03820234484645,98.4996230023441
23,7.20868500601811,98.5081209505068
