"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.618221659576555,0.394775039962705,0.374478784521787
2,0.123722049559568,-0.231667477186829,NA
3,-0.0817576330134956,NA,0.322245806311018
4,0.361020356964694,NA,NA
5,NA,NA,-2.13634435950452
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,0.297985470463754
9,NA,NA,NA
10,NA,NA,-10.2022509292239
11,NA,NA,0.552718131576009
12,NA,NA,1.24810418564555
13,-0.665723885887048,0.138229921063755,0.245884380858746
14,-0.0602038374632596,0.421880331013566,0.617874762408918
15,0.39458545367915,0.762321072785105,0.31098580527424
16,0.435307039650665,0.718239195015012,0.350564110388385
17,0.480876230419698,0.454897882319897,0.405805893312291
18,0.415180607996146,0.441594575053425,0.369662603047045
19,0.420762195837093,0.417662867556529,0.291350538353686
20,0.134975796705111,0.316917970710453,0.144792983509462
21,NA,-6.21788347319478,NA
22,NA,NA,NA
23,NA,NA,NA
