"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,5.68003608415962,1.83921615080521
2,13.9343699773857,NA
3,NA,3.16861538479982
4,NA,NA
5,NA,6.5
6,NA,NA
7,NA,NA
8,NA,1.51474236900024
9,NA,NA
10,NA,28.5
11,NA,40.7401456759419
12,NA,26.5401163859124
13,0,2.81780056072107
14,15.7416644609139,5.9692731736973
15,7.9754887657517,3.56289158248906
16,5.21033268793801,0.666666666666667
17,2.45964802787973,1.78925888803746
18,2.94827198411335,2.41200700201674
19,2.90141031537799,2.45854518861144
20,6.86893166527534,5.17472489875334
21,22,NA
22,NA,NA
23,NA,NA
