"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,37.7468181707091,19.4634622715133
2,82.3453842509872,NA
3,NA,24.417951291331
4,NA,NA
5,NA,101.090330785135
6,NA,NA
7,NA,NA
8,NA,16.7271025527541
9,NA,NA
10,NA,400.626834980979
11,NA,195.91845605272
12,NA,173.890207763967
13,11,23.0234685742376
14,83.0746141802938,45.6034340665785
15,56.4928898323815,26.5498998417494
16,44.9705251430505,14.3803878904242
17,23.6981024877302,19.8949618922263
18,26.4237328243346,22.2563389163316
19,25.4647450492475,22.6532249372689
20,41.138602967374,48.9317108779902
21,372.536504195843,NA
22,NA,NA
23,NA,NA
