"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,2.06666666666667,2.16666666666667,0.833333333333333
2,3.03333333333333,2.53333333333333,0.9
3,1.33333333333333,NA,1.36666666666667
4,0.7,NA,NA
5,NA,NA,0.833333333333333
6,NA,NA,0.533333333333333
7,NA,NA,1.13333333333333
8,NA,NA,0.666666666666667
9,NA,NA,NA
10,NA,2.06666666666667,2.13333333333333
11,NA,NA,15.3333333333333
12,NA,NA,6.63333333333333
13,0.933333333333333,0.366666666666667,0.866666666666667
14,9,5.86666666666667,2.2
15,1.3,5.66666666666667,1.33333333333333
16,1.36666666666667,2.1,0.5
17,2.36666666666667,1.63333333333333,1.4
18,1.43333333333333,1.4,1.2
19,1.13333333333333,1.1,0.9
20,4.43333333333333,2.73333333333333,1.2
21,0.5,3.83333333333333,NA
22,NA,NA,NA
23,NA,NA,NA
