"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.875438596491228,0.725,0.508333333333333
2,2.13333333333333,1.24166666666667,0.9
3,0.65,NA,0.566666666666667
4,0.54,NA,NA
5,NA,NA,0.616666666666667
6,NA,NA,0.533333333333333
7,NA,NA,1.13333333333333
8,NA,NA,0.427777777777778
9,NA,NA,NA
10,NA,2.06666666666667,1.23333333333333
11,NA,NA,3.54166666666667
12,NA,NA,3.52222222222222
13,0.816666666666667,0.35,0.506666666666667
14,2.10740740740741,1.59393939393939,1.06333333333333
15,0.783333333333333,1.31833333333333,0.633333333333333
16,0.861111111111111,1.03555555555556,0.413333333333333
17,0.768518518518518,0.642592592592593,0.542592592592593
18,0.55,0.656410256410256,0.57037037037037
19,0.679166666666667,0.643333333333333,0.511111111111111
20,0.933333333333333,0.83,0.866666666666667
21,0.5,3.1,NA
22,NA,NA,NA
23,NA,NA,NA
