"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.666666666666667,0.6,0.466666666666667
2,1.9,1.08333333333333,0.966666666666667
3,0.466666666666667,NA,0.5
4,0.566666666666667,NA,NA
5,NA,NA,0.616666666666667
6,NA,NA,0.6
7,NA,NA,1.13333333333333
8,NA,NA,0.4
9,NA,NA,NA
10,NA,2.06666666666667,1.28333333333333
11,NA,NA,1.25
12,NA,NA,3.28333333333333
13,0.85,0.366666666666667,0.433333333333333
14,0.833333333333333,0.733333333333333,0.9
15,0.783333333333333,1,0.5
16,0.6,1.43333333333333,0.433333333333333
17,0.633333333333333,0.5,0.483333333333333
18,0.45,0.5,0.566666666666667
19,0.433333333333333,0.433333333333333,0.466666666666667
20,0.483333333333333,0.566666666666667,0.733333333333333
21,0.5,3.1,NA
22,NA,NA,NA
23,NA,NA,NA
