"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.739104276996915,0.622409784140593,0.193378028039369
2,0.795356896363257,0.927511605198435,NA
3,0.459871157479442,NA,0.316861538479982
4,0.144144988736264,NA,NA
5,NA,NA,0.306412938514171
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,0.123678196527506
9,NA,NA,NA
10,NA,NA,1.34350288425444
11,NA,NA,4.70426681456593
12,NA,NA,2.16699142865214
13,0.212132034355964,0,0.210026453360312
14,2.81995753404677,1.73822735665802,0.684114278230628
15,0.370435179514881,1.1885159550627,0.330433817785813
16,0.416714282993508,0.646015620814375,0.155668892951688
17,0.558758021254093,0.34713837371436,0.337842310702175
18,0.292247523748065,0.358613982722354,0.249666444147653
19,0.321392173664713,0.294682213303767,0.184681192483541
20,1.14304734768829,0.759597034170742,0.317979733805649
21,NA,1.03708994574027,NA
22,NA,NA,NA
23,NA,NA,NA
