"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.546275132275132,0.38739393939394,0.0373950617283951
2,0.632592592592592,0.860277777777778,NA
3,0.211481481481481,NA,0.100401234567901
4,0.0207777777777778,NA,NA
5,NA,NA,0.0938888888888889
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,0.0152962962962963
9,NA,NA,NA
10,NA,NA,1.805
11,NA,NA,22.1301262626263
12,NA,NA,4.69585185185185
13,0.045,0,0.0441111111111111
14,7.95216049382716,3.02143434343434,0.468012345679012
15,0.137222222222222,1.4125701754386,0.109186507936508
16,0.173650793650794,0.417336182336182,0.0242328042328042
17,0.31221052631579,0.120505050505051,0.114137426900585
18,0.085408615136876,0.128603988603989,0.0623333333333333
19,0.103292929292929,0.0868376068376069,0.0341071428571428
20,1.30655723905724,0.576987654320988,0.101111111111111
21,NA,1.07555555555556,NA
22,NA,NA,NA
23,NA,NA,NA
