"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,-52.6297732105337,238.095875578608
2,-2.60530545949892,-40.7083126688762
3,0,-259.70953179334
4,0,-96.8778134059842
5,-1.10088424324982,-113.446715525899
6,0,-431.459697364603
7,0,-302.558393540481
8,0,-144.165250008561
9,0,-18.5834672884133
10,-1.53510181983297,-266.403779407761
11,0,-3.91827614604244
12,-35.2282957839943,-212.060588795658
13,-228.842994437343,-173.476439681826
14,-100.166417566572,-76.8577822026593
15,-240.232935464475,573.776131580074
16,123.132288531125,842.332532352131
17,509.105028482178,996.91886837611
18,606.862237816382,961.175241189005
19,670.974164526221,695.29881206392
20,304.490860551572,-4.8488908489752
21,-3.39067160180179,-6.60530545949892
22,0,0
23,-1.10088424324982,0
