"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,101.333333333333,408.333333333333
2,6,53
3,0,237
4,0,29.3333333333333
5,0.333333333333333,35
6,0,358.333333333333
7,0,229.333333333333
8,0,113
9,0,8.66666666666667
10,1.33333333333333,155
11,0,2.33333333333333
12,10.6666666666667,89.3333333333333
13,194.666666666667,98.3333333333333
14,184.333333333333,419
15,289.333333333333,889.333333333333
16,421.666666666667,1139.33333333333
17,773.666666666667,1047.66666666667
18,788,1001.33333333333
19,947.666666666667,757.666666666667
20,360.333333333333,275
21,5.33333333333333,2
22,0,0
23,0.333333333333333,0
