"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,3841.33333333333,4696.33333333333
2,12,1423
3,0,39981
4,0,2581.33333333333
5,0.333333333333333,3571
6,0,101082.333333333
7,0,45845.3333333333
8,0,10717
9,0,120.333333333333
10,1.33333333333333,28777
11,0,6.33333333333333
12,341.333333333333,14720.3333333333
13,29065.3333333333,11972.3333333333
14,13116.3333333333,39844
15,45445.3333333333,16136.3333333333
16,14442.3333333333,14294.3333333333
17,11342.3333333333,417.333333333333
18,5317,261.333333333333
19,12406.3333333333,630.333333333333
20,505.333333333333,12691
21,12.3333333333333,12
22,0,0
23,0.333333333333333,0
