"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,6.61023919706535,6.42181827382854,6.15391465853069
2,5.27335404395628,1.91702870543571,4.12694639349312
3,4.32263348930664,1.86934374808685,6.17281134009523
4,3.91235093134873,1.86776452249108,4.53978907282152
5,2.51986224536741,1.86776452249108,3.84312704364737
6,2.37074720762378,2.44677132683854,5.57571595069925
7,2.3770640648401,2.45739360225353,6.16333273174593
8,2.69563687133435,2.53377498020908,5.28505663012079
9,2.54603537319283,2.52479143527928,4.37535958474712
10,3.42691111669017,2.79216038353351,5.89321094367158
11,1.79600753243292,2.17495840335782,1.33059392713667
12,1.70152620816145,1.9993255609538,5.10994988770964
13,3.86753059098788,5.3291131881399,4.68063783365575
14,3.42259105627657,5.06050461360276,5.73620821447143
15,4.05478500196067,3.32833721032237,6.48337360308444
16,6.54970778643149,5.95241952645968,6.53915177642201
17,6.63280193014371,6.73305346309679,6.5597758578738
18,6.64812745690358,6.46910233765801,6.32084640931101
19,6.35653801484278,6.77318487075268,5.85350722384653
20,6.38469450397299,4.5853297648754,4.27684316479079
21,5.84455860667907,3.55754172876524,2.92468643555415
22,4.87729164739978,0.778508886380156,2.92494075935079
23,4.87266596941,0.784328764327483,2.91916449627297
