"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,744.051610945122,874.255848035588
2,265.695339458318,2714.10479632556
3,327.656635423642,1179.75324524738
4,325.254019406884,2005.13589751789
5,325.254019406884,1180.11373820302
6,434.307169825036,810.450817070318
7,436.553007799824,1456.36351710559
8,449.57011357168,1003.53293348132
9,461.243230570424,1951.51667347706
10,394.229967551259,1055.74451809109
11,640.139949963104,224.369706188614
12,654.539865679967,699.328219676019
13,655.312765227052,1307.76973231832
14,663.462281881777,972.718992644256
15,490.978558007532,1006.30371490503
16,691.776451474585,841.299627311805
17,906.666379542743,749.193316895871
18,735.853764116184,1111.15272032027
19,939.146649186489,737.623294583821
20,1463.36014956452,1209.91450096541
21,781.676414820958,1825.54603150715
22,162.690397782041,1825.93295686403
23,183.385414194213,1833.43856798411
