"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,712.821828394968,685.177028966933
2,212.790186303363,459.052395212633
3,207.49715603764,685.18205875057
4,207.32186199651,503.916587083189
5,207.32186199651,426.587101844858
6,271.591617279078,618.904470527617
7,272.770689850142,684.129933223798
8,281.249022803208,586.641285943407
9,280.251849316,485.66491390693
10,309.929802572219,654.146414747545
11,241.420382772718,147.69592591217
12,221.925137265872,567.20443753577
13,593.123127646244,523.065486676818
14,561.716012109907,636.719111806329
15,371.513931204558,719.654469942373
16,660.718567437025,726.772493399252
17,747.368934403744,728.135120223992
18,718.070359480039,701.613951433522
19,754.820875517769,649.739301846965
20,511.788472611396,474.729591291777
21,394.887131892942,324.640194346511
22,86.4144863881973,324.668424287937
23,87.0604928403506,324.0272590863
