"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,6.35381078188456,6.39967559643702,6.04399770736762
2,5.13631249344845,1.87951766171397,2.53672002041524
3,4.29466177893803,1.78414774701626,5.8221483083513
4,3.00728223636423,1.78414774701626,3.47538797327839
5,2.23844415920422,1.78414774701626,3.30885828311403
6,2.086708976919,2.33140203213333,5.43990491998817
7,2.10589319232691,2.34126794486315,5.61580028923432
8,2.6679142443234,2.41443122220854,4.98947028577699
9,2.43510030538396,2.39646413234893,3.33603494123325
10,2.34166656918532,2.73238951083578,5.60846809510701
11,1.72778137266118,1.89225650712127,1.27623034716863
12,1.69323839001914,1.69259116884878,5.0162709042271
13,3.81983044363642,5.2993576308273,4.15592723596674
14,1.93209115195498,4.98836402716957,5.49797610532897
15,3.75851709788574,3.26226901954953,6.28013229823265
16,6.42781902342766,5.93039872930548,6.46629740975317
17,6.58805612943953,6.62010768989643,6.54484508291231
18,6.62850656342917,6.4564934701083,6.03047343523677
19,6.25525020940084,6.69321473193353,5.79119532987398
20,5.83990898639712,3.93601943665965,3.75557913575459
21,5.84143060394368,3.28329869500033,1.86050759620663
22,4.00950497994931,0.724427405152239,1.86050759620663
23,4.00025362396975,0.716032046126617,1.848955070051
