"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,12.0819273096049,442.877952092182
2,34.6732259597595,62995.7968990891
3,178.86047258228,3030.0927326602
4,172.291076599788,27918.1465248621
5,172.291076599788,7033.8890792093
6,327.986847469857,454.512721859698
7,332.301517355751,7387.46893440255
8,350.974344480923,2153.00325333059
9,405.801909923918,26618.1827995485
10,88.0349550903369,1997.93614586507
11,1969.39756374887,72.8269378934791
12,2318.4668990476,216.252079461254
13,47.910902274403,7627.99329508671
14,128.243478685609,1398.54532111977
15,176.797841869546,1017.88778392325
16,11.9492879310534,162.485676469613
17,314.351776424885,5.49339278510598
18,3.91767241451389,2077.72630767992
19,420.891765176804,95.6792708384571
20,11217.1186041887,6695.63030388405
21,1853.30613073301,27906.488429319
22,72.0730845281134,27919.8285407761
23,114.941172790524,28223.6707380403
