"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,55.7477271599542,57.6262918576897,56.2001729912047
2,59.3030680603584,59.4565782423417,59.4205416966403
3,59.5464898180167,59.8,59.1195242891977
4,59.67982315135,59.8,59.9
5,60,59.7666666666667,59.9
6,60.0333333333333,59.8,57.1688504837752
7,60,55.3333333333333,57.6501190558977
8,60.0333333333333,59.8666666666667,59.9333333333333
9,59.9666666666667,59.8,59.9
10,60.0333333333333,59.6232449090084,59.4764603432417
11,60,59.8,59.8666666666667
12,60.0333333333333,59.8,59.7232449090084
13,59.2203109466066,58.1227636716323,59.6232449090084
14,59.4538750299737,58.8464898180167,58.7295107821021
15,56.9598264241895,58.6841248718499,56.4595206411083
16,56.5347771368324,57.0463930429186,54.3081723853957
17,55.9402642788243,54.9991043308249,54.0618392928181
18,52.2166153966215,48.3706618617674,51.2083199378254
19,54.6347771368323,52.1770000799298,53.04363499006
20,56.8821689767993,56.0260423184047,57.6876561036424
21,59.8232449090084,59.5846250099912,59.8666666666667
22,60.0333333333333,59.8333333333333,59.9
23,60,59.7666666666667,59.9666666666667
