"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.311705780869011,0.195315509236079,0.21688023662159
2,0.100000000000001,0.0333333333333338,0.0881917103688192
3,0.0666666666666676,0,0.0987577157479516
4,0.0666666666666653,0,0
5,0,0,0
6,0,0,0.433333333333333
7,0,0,0.357632820876246
8,0,0,0
9,0,0,0
10,0,0.0333333333333314,0.0777777777777778
11,0,0,0
12,0,0,0.0333333333333338
13,0.0675862503366471,0.24520084989682,0.0333333333333314
14,0.0881917103688192,0.0666666666666676,0.135172500673292
15,0.450924975282289,0.1457208560956,0.218581284143399
16,0.0693888666488694,0.247456193903558,0.145296631451356
17,0.10943175335329,0.240370085030931,0.101835015443464
18,0.331848544957068,1.28509979436676,0.633333333333331
19,0.0693888666488717,0.235177894316852,0.733585815121958
20,0.0867805519545175,0.272845092395748,0.168141621671351
21,0.0333333333333338,0.0293972367896067,0
22,0,0,0
23,0,0,0
