"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,58.4300506178236,59.3070414756437,58.0664936754619
2,60.1635986063083,59.7434217576583,60.1794583033597
3,60.12017684865,59.8,59.9693645996912
4,60.2535101819833,59.8,59.9
5,60,59.7666666666667,59.9
6,60.0333333333333,59.8,60.8978161828914
7,60,55.3333333333333,60.7276587218801
8,60.0333333333333,59.8666666666667,59.9333333333333
9,59.9666666666667,59.8,59.9
10,60.0333333333333,59.910088424325,60.1457618789805
11,60,59.8,59.8666666666667
12,60.0333333333333,59.8,60.010088424325
13,59.8019112756156,60.2327918839232,59.910088424325
14,60.212791636693,59.42017684865,59.8927114401201
15,60.8401735758105,59.9380973503723,58.3404793588917
16,57.1318895298343,59.1758291793037,55.5584942812709
17,56.8819579433979,57.0675623358418,54.9381607071819
18,55.0722734922674,59.4293381382326,56.6583467288413
19,55.2318895298343,54.200777697848,59.35636500994
20,57.6289421343118,58.3739576815953,59.1345661185799
21,60.110088424325,59.837597212231,59.8666666666667
22,60.0333333333333,59.8333333333333,59.9
23,60,59.7666666666667,59.9666666666667
