"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,57.4333333333333,58.8333333333333,57.3666666666667
2,59.8333333333333,59.6333333333333,59.9333333333333
3,59.9666666666667,59.8,59.7333333333333
4,60.0333333333333,59.8,59.9
5,60,59.7666666666667,59.9
6,60.0333333333333,59.8,59.8
7,60,55.3333333333333,59.9
8,60.0333333333333,59.8666666666667,59.9333333333333
9,59.9666666666667,59.8,59.9
10,60.0333333333333,59.8,59.9333333333333
11,60,59.8,59.8666666666667
12,60.0333333333333,59.8,59.9
13,59.6333333333333,59.6666666666667,59.8
14,60,59.2,59.5333333333333
15,59.8,59.6,57.6666666666667
16,56.9333333333333,58.6,55.1666666666667
17,56.5666666666667,56.3666666666667,54.7
18,54.2666666666667,56.3333333333333,55.1666666666667
19,55.0666666666667,53.6333333333333,56.9666666666667
20,57.4,57.7333333333333,58.7333333333333
21,60,59.7666666666667,59.8666666666667
22,60.0333333333333,59.8333333333333,59.9
23,60,59.7666666666667,59.9666666666667
