"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,57.0888888888889,58.4666666666667,57.1333333333333
2,59.7333333333333,59.6,59.8
3,59.8333333333333,59.8,59.5444444444444
4,59.9666666666667,59.8,59.9
5,60,59.7666666666667,59.9
6,60.0333333333333,59.8,59.0333333333333
7,60,55.3333333333333,59.1888888888889
8,60.0333333333333,59.8666666666667,59.9333333333333
9,59.9666666666667,59.8,59.9
10,60.0333333333333,59.7666666666667,59.8111111111111
11,60,59.8,59.8666666666667
12,60.0333333333333,59.8,59.8666666666667
13,59.5111111111111,59.1777777777778,59.7666666666667
14,59.8333333333333,59.1333333333333,59.3111111111111
15,58.9,59.3111111111111,57.4
16,56.8333333333333,58.1111111111111,54.9333333333333
17,56.4111111111111,56.0333333333333,54.5
18,53.6444444444444,53.9,53.9333333333333
19,54.9333333333333,53.1888888888889,56.2
20,57.2555555555556,57.2,58.4111111111111
21,59.9666666666667,59.7111111111111,59.8666666666667
22,60.0333333333333,59.8333333333333,59.9
23,60,59.7666666666667,59.9666666666667
