"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,57.3666666666667,58.4,57.3333333333333
2,59.8333333333333,59.6333333333333,59.8333333333333
3,59.7666666666667,59.8,59.5
4,60.0333333333333,59.8,59.9
5,60,59.7666666666667,59.9
6,60.0333333333333,59.8,59
7,60,55.3333333333333,58.9
8,60.0333333333333,59.8666666666667,59.9333333333333
9,59.9666666666667,59.8,59.9
10,60.0333333333333,59.8,59.8333333333333
11,60,59.8,59.8666666666667
12,60.0333333333333,59.8,59.9
13,59.5,58.9666666666667,59.8
14,59.8,59.2,59.3333333333333
15,58.5,59.2,57.5666666666667
16,56.8666666666667,57.9333333333333,54.9666666666667
17,56.4666666666667,56.1666666666667,54.4333333333333
18,53.5333333333333,53.4,53.5666666666667
19,54.9,53.1,56.9
20,57.2666666666667,57.0333333333333,58.3333333333333
21,60,59.7,59.8666666666667
22,60.0333333333333,59.8333333333333,59.9
23,60,59.7666666666667,59.9666666666667
