"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,56.4666666666667,58.1666666666667,56.7
2,59.5333333333333,59.5333333333333,59.6333333333333
3,59.7666666666667,59.8,59.4
4,59.8333333333333,59.8,59.9
5,60,59.7666666666667,59.9
6,60.0333333333333,59.8,58.3
7,60,55.3333333333333,58.7666666666667
8,60.0333333333333,59.8666666666667,59.9333333333333
9,59.9666666666667,59.8,59.9
10,60.0333333333333,59.7,59.6666666666667
11,60,59.8,59.8666666666667
12,60.0333333333333,59.8,59.8
13,59.4,58.9,59.7
14,59.7,59,59.0666666666667
15,58.4,59.1333333333333,56.9666666666667
16,56.7,57.8,54.6666666666667
17,56.2,55.5666666666667,54.3666666666667
18,53.1333333333333,51.9666666666667,53.0666666666667
19,54.8333333333333,52.8333333333333,54.7333333333333
20,57.1,56.8333333333333,58.1666666666667
21,59.9,59.6666666666667,59.8666666666667
22,60.0333333333333,59.8333333333333,59.9
23,60,59.7666666666667,59.9666666666667
