"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.539890249478058,0.338296385503076,0.375647588986154
2,0.17320508075689,0.0577350269189634,0.152752523165194
3,0.115470053837927,0,0.171053381314897
4,0.115470053837923,0,0
5,0,0,0
6,0,0,0.750555349946513
7,0,0,0.619438216211838
8,0,0,0
9,0,0,0
10,0,0.0577350269189593,0.134715062810913
11,0,0,0
12,0,0,0.0577350269189634
13,0.117062819476142,0.424700330080363,0.0577350269189593
14,0.152752523165194,0.115470053837927,0.234125638952281
15,0.781024967590664,0.252395926480013,0.378593889720017
16,0.120185042515463,0.428606700488578,0.251661147842359
17,0.189541356769244,0.416333199893224,0.176383420737641
18,0.574778540283447,2.22585813663954,1.09696551146029
19,0.120185042515467,0.407340061773851,1.27060790350306
20,0.150308325094095,0.472581562625261,0.291229831601805
21,0.0577350269189634,0.0509175077217318,0
22,0,0,0
23,0,0,0
