"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.291481481481479,0.114444444444446,0.14111111111111
2,0.0300000000000009,0.00333333333333343,0.023333333333333
3,0.0133333333333337,0,0.0292592592592596
4,0.0133333333333328,0,0
5,0,0,0
6,0,0,0.563333333333333
7,0,0,0.383703703703704
8,0,0,0
9,0,0,0
10,0,0.00333333333333295,0.0181481481481481
11,0,0,0
12,0,0,0.00333333333333343
13,0.0137037037037038,0.180370370370369,0.00333333333333295
14,0.023333333333333,0.0133333333333337,0.0548148148148136
15,0.609999999999998,0.0637037037037039,0.143333333333332
16,0.0144444444444437,0.183703703703706,0.0633333333333335
17,0.0359259259259259,0.173333333333332,0.0311111111111118
18,0.33037037037037,4.95444444444445,1.20333333333333
19,0.0144444444444447,0.165925925925925,1.61444444444444
20,0.0225925925925922,0.223333333333333,0.0848148148148155
21,0.00333333333333343,0.00259259259259261,0
22,0,0,0
23,0,0,0
