"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,20.1246117974981,20.1246117974981
2,23,32.5269119345812
3,214.72307747422,20.591260281974
4,216.092572755289,261.512905991272
5,216.092572755289,27.2029410174709
6,211.74040710266,20.6155281280883
7,276.817629496389,23.4093998214393
8,284.39585088394,25.7099202643649
9,294.496179941269,351.118213711565
10,267.406058270937,37.3363094051889
11,250.347758128568,28.4604989415154
12,114.756263445618,27.6586333718787
13,44.9221548904324,21.5870331449229
14,22.1359436211787,20.1246117974981
15,21.095023109729,20.3960780543711
16,20,20.2237484161567
17,20,20.8806130178211
18,20.0249843945008,20.1246117974981
19,20.0249843945008,20.1246117974981
20,20,20
21,21.0237960416286,302.372287089938
22,90.2441133814278,350.7705802943
23,90.2441133814278,354.992957676628
