"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.18018018018018,0.18018018018018,0.181078840020196
2,0.18018018018018,0.185506849387153,0.18018018018018
3,0.181078840020196,0.37848561329009,0.18018018018018
4,0.185725478631426,0.378378378378378,0.802611191839365
5,0.636076868760499,0.326320185158105,0.210124392607038
6,0.606889001553128,0.291786211544174,0.18018018018018
7,0.580015084786302,0.344233750892663,0.181302808986469
8,0.25433503087375,0.335275568755467,0.18018018018018
9,0.274590101876183,0.355485038863943,0.502085578129469
10,0.243909664336593,0.181078840020196,0.184849410168317
11,0.607891185868012,0.60762409833936,0.192590615553441
12,1.36334021226259,0.692757060431151,0.197788273874776
13,0.18018018018018,0.183748450940281,0.181302808986469
14,0.18018018018018,0.18241852911096,0.18018018018018
15,0.180405264815322,0.180405264815322,0.18018018018018
16,0.18018018018018,0.18018018018018,0.18018018018018
17,0.18018018018018,0.18018018018018,0.18018018018018
18,0.18018018018018,0.18018018018018,0.18018018018018
19,0.180405264815322,0.18018018018018,0.18018018018018
20,0.18018018018018,0.18018018018018,0.18018018018018
21,0.205437013531376,0.18241852911096,1.84323972065571
22,1.93129284527655,0.704375463401509,1.82329522748447
23,1.92988450014856,0.704375463401509,1.83184413917984
