"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,2.50510296796213e-06,6.30147718355238e-07,0.000207442489661177
2,0.00194655622811051,0.00023545276475919,0.00636813256297186
3,1.27168257944209,1.21050035558351,1.41867024202572e-05
4,3.15708147151313,1.22994172098676,1.20646509596198
5,2.00685467053615,1.31294489999509,0.000610651579843581
6,2.0612880590765,1.30538062126914,1.53751674566956e-05
7,2.10279676282354,2.31043042191883,0.000437863499806312
8,2.3325357981902,2.47942871090775,0.00132307399664819
9,2.08174317781796,2.63956030818446,3.54083723424475
10,1.26699543202886,2.48195801867428,0.0114782063447271
11,0.570728408679452,1.35755833785725,0.00203587564957385
12,0.0318249600214144,0.0581688578766316,0.00132039427709872
13,6.30147718355238e-07,0.0244106990085375,8.67898789628985e-05
14,0.000370539945714347,0.000144574578337845,6.30147718355238e-07
15,0.000318255999601014,4.64646884216872e-05,6.36627810869359e-06
16,0,0,2.03162704864157e-06
17,6.36627810869359e-06,0,3.14698192985955e-05
18,0,2.53315464885556e-08,6.30147718355238e-07
19,2.26851778310406e-07,2.53315464885556e-08,6.30147718355238e-07
20,0.000137440682020039,0,0
21,5.91287989968408,2.43953837397602e-05,0.387935093835313
22,1.8908001150917,0.00590073458035286,0.893517240956603
23,2.08785656030101,0.00590073458035286,0.933375021858986
