"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.769723037560838,0.359835075354549,0.620035817735228
2,0.214205955956801,0.0520154096143915,0.134161884016852
3,0.192434837300938,0.0188092615618681,0.446057965315298
4,0.0940528591799766,0.000552391856739683,0.0624167341256817
5,0.0348609559575894,0.00810977245029132,0.0959202786589523
6,0.0184588450468658,0.0267937604262881,0.481058384808629
7,0.00388672944191654,0.0112414828456589,0.362133068984401
8,0.0227813265397334,0.00339377065398044,0.25841788234777
9,0.0172410233536881,0.00602104587547137,0.0356693769244401
10,0.1028731049999,0.046334216243438,0.257580747535184
11,0.033598152678537,0.0147538335931194,0.0604825151381271
12,0.0162310842500593,0.0415547861115122,0.167419420661954
13,0.300318157817281,0.304790260792544,0.210193463897981
14,0.268675298013634,0.341514218254774,0.633058826296557
15,0.475701501609546,0.455169895216799,1.24017422768402
16,1.11621049455044,0.639846010892438,1.65593957216485
17,0.894842287718963,1.1555439189277,1.58487546281915
18,1.01828514839154,1.1640447152188,1.5622997073106
19,1.1862883955983,1.31526276688088,1.12532644963921
20,0.564233594882513,0.615711825336672,0.526717726244707
21,0.0602301546165798,0.0186304935075637,0.0207057687565819
22,0.00344585087951002,0.00385597767194892,0.00310828357572932
23,0.00620620620620621,0.00939589896645111,0.00285443865210402
