"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.382219881722458,0.27027027027027,0.27027027027027
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0.27027027027027
15,0,0,1.20868539324313
16,0.854669637883346,0,1.89189189189189
17,0.540540540540541,0.854669637883346,1.70933927576669
18,0.540540540540541,0.810810810810811,1.62162162162162
19,0.854669637883346,1.3781133820521,0.854669637883346
20,0.27027027027027,0.27027027027027,0.27027027027027
21,0,0,0
22,0,0,0
23,0,0,0
