"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.881355487146915,0.503811124912658,0.879475779054379
2,0.49062852448261,0.164523588486693,0.39815781829296
3,0.40845321751433,0.0694128674057825,0.686040716337918
4,0.320718420990221,0.0122072784766836,0.276110874843069
5,0.150456233829241,0.0509545394359889,0.299320351191898
6,0.0713797239228129,0.0866504013914718,0.708345073142138
7,0.0326688570084859,0.055158871200676,0.602384025496087
8,0.0927079550045871,0.030621203101473,0.521179601181381
9,0.0672449867150104,0.0405834440954341,0.158984578145189
10,0.259009110403761,0.140863793134571,0.547062306827036
11,0.123949472202762,0.0627389344022292,0.175372930899726
12,0.0714475331682777,0.200004563896265,0.425185553472037
13,0.547351698567591,0.67848238755512,0.440767819602314
14,0.50723517310929,0.597906476056182,0.864146708732686
15,0.819418525507467,0.748961194993012,0.96661086547282
16,1.08451871141174,0.915656353051766,1.12664979778402
17,1.04108438821762,1.10391414825387,1.20362472034295
18,1.1624633793986,1.20038209314462,1.30559368947596
19,1.20332536909128,1.04381264037701,1.13500078745528
20,0.80325581080914,0.767976249941127,0.721693828898501
21,0.250838359371368,0.128928576911709,0.105213135056835
22,0.0316587482886843,0.0323012906499326,0.0292860641844048
23,0.0404862887604762,0.0521847921553753,0.0276308441181777
