frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,71,94
7,0,0,71,93
8,0,0,71,90
9,0,0,72,89
10,0,0,73,88
11,0,0,73,88
12,0,0,73,88
13,0,0,73,88
14,0,0,74,85
15,0,0,73,82
16,0,0,73,80
17,0,0,74,89
18,0,0,73,89
19,0,0,73,89
20,0,0,73,88
21,0,0,73,88
22,0,0,73,88
23,0,0,73,87
24,0,0,72,87
25,0,0,72,84
26,0,0,72,82
27,0,0,72,79
28,0,0,72,77
29,0,0,71,75
30,0,0,71,73
31,0,0,71,72
32,0,0,71,71
33,0,0,70,69
34,0,0,69,66
35,0,0,68,64
36,0,0,67,62
37,0,0,66,60
38,0,0,66,59
39,0,0,66,58
40,0,0,66,58
41,0,0,65,55
42,0,0,64,54
43,0,0,63,51
44,0,0,62,50
45,0,0,61,49
46,0,0,61,49
47,0,0,61,49
48,0,0,61,49
49,0,0,61,49
50,0,0,60,48
51,0,0,59,48
52,0,0,59,47
53,0,0,58,46
54,0,0,59,46
55,0,0,59,46
56,0,0,60,47
57,0,0,60,47
58,0,0,59,47
59,0,0,58,46
60,0,0,57,46
61,0,0,57,46
62,0,0,56,45
63,0,0,56,43
64,0,0,56,43
65,0,0,55,42
66,0,0,55,41
67,0,0,54,39
68,0,0,54,39
69,0,1,54,39
70,0,1,54,39
71,0,1,54,39
72,0,1,55,39
73,0,1,55,39
74,0,1,54,39
75,0,1,54,39
76,0,1,55,39
77,0,1,55,39
78,0,1,56,39
79,0,1,56,39
80,0,1,56,39
81,0,1,57,39
82,0,1,57,39
83,0,1,57,39
84,0,1,57,39
85,0,1,57,39
86,0,1,57,39
87,0,1,58,39
88,0,1,58,39
89,0,1,58,38
90,0,1,59,37
91,0,1,59,37
92,0,1,59,37
93,0,1,59,37
94,0,1,58,36
95,0,1,58,36
96,0,1,58,36
97,0,1,58,36
98,0,1,58,36
99,0,1,58,36
100,0,1,58,36
101,0,1,58,36
102,0,1,59,36
103,0,1,59,35
104,0,1,59,35
105,0,1,59,35
106,0,1,58,35
107,0,1,58,34
108,0,1,57,34
109,0,1,57,34
110,0,1,57,34
111,0,1,57,34
112,0,1,57,34
113,0,1,57,34
114,0,1,58,34
115,0,1,58,35
116,0,1,59,35
117,0,1,60,34
118,0,1,60,34
119,0,1,61,33
120,0,1,61,32
121,0,1,59,32
122,0,1,58,33
123,0,1,57,31
124,0,1,55,29
125,0,1,53,29
126,0,1,52,28
127,0,1,51,28
128,0,1,50,27
129,0,1,48,26
130,0,1,47,26
131,0,1,46,25
132,0,1,45,25
133,0,1,43,25
134,0,1,41,25
