frame_idx,led_1_status,led_2_status,0_x,0_y,1_x,1_y,2_x,2_y
8,0,0,404,52,726,138,725,158
9,0,0,28,183,722,153,400,62
10,0,0,25,197,720,157,399,63
11,0,0,26,202,720,159,399,63
12,0,0,21,205,720,159,399,60
13,0,0,20,208,720,159,401,59
14,0,0,19,210,720,159,398,58
15,0,0,18,212,721,160,399,55
16,0,0,19,213,714,160,400,51
17,0,0,19,213,709,161,401,47
18,0,0,19,213,702,163,404,43
19,0,0,19,213,697,165,409,38
20,0,0,19,213,697,165,410,28
21,0,0,21,216,692,168,412,23
22,0,0,21,220,686,171,415,20
23,0,0,21,222,680,175,417,20
24,0,0,21,223,672,179,423,20
25,0,0,21,225,669,184,429,21
26,0,0,21,225,664,186,437,20
27,0,0,21,225,659,188,443,20
28,0,0,21,226,658,190,449,19
29,0,0,21,226,658,190,450,18
30,0,0,20,229,658,190,455,17
31,0,0,19,229,657,190,462,15
32,0,0,17,230,655,190,468,15
33,0,0,17,231,655,188,475,16
34,0,0,17,233,651,190,482,16
35,0,0,17,233,648,190,490,18
36,0,0,18,234,643,191,504,22
37,0,0,19,236,640,193,513,24
38,0,0,20,235,630,195,522,24
39,0,0,22,237,626,197,531,25
40,0,0,32,235,624,199,540,26
41,0,0,32,233,620,201,550,26
42,0,0,33,231,621,203,560,27
43,0,0,33,231,620,208,569,27
44,0,0,34,227,617,213,577,27
45,0,0,34,223,615,218,585,27
46,0,0,36,220,612,224,594,27
47,0,0,41,218,615,226,602,27
48,0,0,48,216,612,229,612,27
49,0,0,54,213,610,231,623,29
50,0,0,59,210,610,231,633,30
51,0,0,60,210,610,231,643,31
52,0,0,65,205,612,228,654,31
53,0,0,71,200,613,226,664,33
54,0,0,77,195,612,219,674,35
55,0,0,84,190,615,220,685,37
56,0,0,90,184,618,220,696,40
57,0,0,96,177,622,222,707,42
58,0,0,102,171,628,225,714,44
59,0,0,107,164,632,224,721,45
60,0,0,112,157,633,224,726,46
61,0,0,117,150,634,224,731,46
62,0,0,122,144,636,225,735,46
