frame_idx,led_1_status,led_2_status,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y
15,0,0,490,3,453,12,251,15,476,2,435,20,124,229
16,0,0,490,1,453,12,253,14,480,2,435,20,124,229
17,0,0,489,0,453,12,256,12,12,230,435,20,124,229
18,0,0,489,0,453,12,256,12,12,230,435,20,124,229
19,0,0,489,0,453,12,256,12,12,230,435,20,124,229
20,0,0,489,0,453,12,256,12,12,230,435,20,124,229
21,0,0,489,0,453,12,256,12,12,230,435,20,124,229
22,0,0,489,0,453,12,256,12,12,230,435,20,124,229
23,0,0,489,0,453,12,256,12,12,230,435,20,124,229
24,0,0,490,5,452,13,253,5,9,238,435,20,135,235
25,0,0,490,5,452,13,253,5,9,238,435,20,135,235
26,0,0,490,5,452,13,253,5,9,238,435,20,135,235
27,0,0,490,5,452,13,253,5,9,238,435,20,135,235
28,0,0,490,5,452,13,253,5,9,238,435,20,135,235
29,0,0,490,5,452,13,253,5,9,238,435,20,135,235
30,0,0,490,5,452,13,253,5,9,238,435,20,135,235
31,0,0,490,5,452,13,253,5,9,238,435,20,135,235
32,0,0,490,5,452,13,253,5,9,238,435,20,135,235
33,0,0,490,5,452,13,253,5,9,238,435,20,135,235
34,0,0,490,5,452,13,253,5,9,238,435,20,135,235
35,0,0,490,5,452,13,253,5,9,238,435,20,135,235
36,0,0,490,5,452,13,253,5,9,238,435,20,135,235
37,0,0,490,5,452,13,253,5,9,238,435,20,135,235
38,0,0,490,5,452,13,253,5,9,238,435,20,135,235
39,0,0,490,5,452,13,253,5,9,238,435,20,135,235
40,0,0,490,5,452,13,253,5,9,238,435,20,135,235
41,0,0,490,5,452,13,253,5,9,238,435,20,135,235
42,0,0,490,5,452,13,253,5,9,238,435,20,135,235
43,0,0,490,5,452,13,253,5,9,238,435,20,135,235
44,0,0,490,5,452,13,253,5,9,238,435,20,135,235
45,0,0,490,5,452,13,253,5,9,238,435,20,135,235
46,0,0,490,5,452,13,253,5,9,238,435,20,135,235
47,0,0,490,5,452,13,253,5,9,238,435,20,135,235
48,0,0,490,5,452,13,253,5,9,238,435,20,135,235
49,0,0,490,5,452,13,253,5,9,238,435,20,135,235
50,0,0,490,5,452,13,253,5,9,238,435,20,135,235
51,0,0,490,5,452,13,253,5,9,238,435,20,135,235
52,0,0,571,9,602,138,422,22,586,12,437,24,610,155
53,0,0,576,14,607,147,423,24,561,13,439,26,615,164
54,0,0,550,16,613,156,424,26,565,17,439,28,620,174
55,0,0,555,18,617,164,31,225,540,17,430,31,625,182
56,0,0,330,3,621,171,29,223,537,19,436,37,629,189
57,0,0,334,3,626,179,26,222,525,20,436,40,633,197
58,0,0,338,3,631,189,23,220,515,20,437,44,639,205
59,0,0,340,3,636,197,21,219,505,19,439,49,644,214
60,0,0,343,3,642,205,20,216,498,18,439,52,650,222
61,0,0,345,4,646,213,19,211,491,16,440,56,654,230
62,0,0,345,3,473,13,18,207,488,16,439,57,652,221
63,0,0,344,5,462,9,16,204,479,12,439,62,657,226
64,0,0,341,10,456,8,16,203,474,11,439,65,662,227
65,0,0,340,13,456,8,16,203,474,11,438,71,668,226
