frame_idx,led_1_status,led_2_status,0_x,0_y
29,0,0,545,202
30,0,0,543,198
31,0,0,544,198
32,0,0,542,188
33,0,0,541,182
34,0,0,539,174
35,0,0,538,165
36,0,0,537,158
37,0,1,535,150
38,0,1,534,142
39,0,1,534,135
40,0,1,534,126
41,0,1,535,119
42,0,1,535,110
43,0,1,537,105
44,0,1,538,98
45,0,1,540,89
46,0,1,543,81
47,0,1,544,75
48,0,1,546,67
49,0,1,548,62
50,0,1,551,57
51,0,1,553,52
52,0,1,555,47
53,0,1,558,40
54,0,1,561,34
55,0,1,565,28
56,0,1,567,25
57,0,1,568,22
58,0,1,569,19
59,0,1,570,18
60,0,1,570,18
61,0,1,570,18
62,0,1,570,18
63,0,1,570,18
64,0,1,570,17
65,0,1,572,15
66,0,1,573,11
67,0,1,570,18
68,0,1,569,18
69,0,1,569,19
70,0,1,568,20
71,0,1,569,20
72,0,1,569,20
73,0,1,567,17
74,0,1,565,13
75,0,1,564,12
76,0,1,565,12
77,0,1,566,15
78,0,1,567,15
79,0,1,569,12
80,0,1,570,11
81,0,1,571,9
82,0,1,571,11
83,0,1,570,10
84,0,1,570,6
85,0,1,570,5
86,0,1,570,6
87,0,1,570,5
88,0,1,570,5
89,0,1,570,5
90,0,1,570,5
91,0,1,570,5
92,0,1,570,5
93,0,1,570,5
94,0,1,570,5
95,0,1,571,11
96,0,1,571,12
97,0,1,571,13
98,0,1,571,14
99,0,1,572,17
100,0,1,573,20
101,0,1,575,22
102,0,1,576,25
103,0,1,578,29
104,0,1,579,34
105,0,1,581,40
106,0,1,581,46
107,0,1,578,51
108,0,1,575,57
109,0,1,573,62
110,0,1,572,66
111,0,1,569,65
112,0,1,568,74
113,0,1,566,84
114,0,1,564,92
115,0,1,562,99
116,0,1,561,104
117,0,1,559,111
118,0,1,555,119
119,0,1,554,128
120,0,1,550,137
121,0,1,549,144
122,0,1,548,152
123,0,1,546,162
124,0,1,546,174
125,0,1,544,184
126,0,1,544,192
127,0,1,543,200
128,0,1,543,209
129,0,1,544,214
130,0,1,543,219
131,0,1,542,224
132,0,1,536,227
133,0,1,529,221
134,0,1,527,225
135,0,1,525,225
136,0,1,524,226
137,0,1,522,229
138,0,1,524,231
139,0,1,523,234
140,0,1,524,239
141,0,1,524,239
142,0,1,524,239
143,0,1,524,239
144,0,1,524,239
145,0,1,524,239
146,0,1,524,239
147,0,1,524,239
148,0,1,524,239
149,0,1,524,239
150,0,1,524,239
151,0,1,524,239
152,0,1,524,239
153,0,1,524,239
154,0,1,524,239
155,0,1,524,239
156,0,1,524,239
157,0,1,520,232
158,0,1,521,233
159,0,1,521,235
160,0,1,523,234
161,0,1,523,235
162,0,1,524,234
163,0,1,524,233
164,0,1,525,233
165,0,1,525,233
166,0,1,525,232
167,0,1,525,231
168,0,1,525,231
169,0,1,525,230
170,0,1,525,229
171,0,1,526,227
172,0,1,527,224
173,0,1,528,223
174,0,1,529,220
175,0,1,530,219
176,0,1,532,215
177,0,1,534,211
178,0,1,536,208
179,0,1,537,206
180,0,1,539,202
181,0,1,542,198
182,0,1,543,202
183,0,1,544,199
184,0,1,549,195
185,0,1,552,189
186,0,1,556,183
187,0,1,560,177
188,0,1,563,172
189,0,1,567,166
190,0,1,571,162
191,0,1,574,162
192,0,1,578,158
193,0,1,583,153
194,0,1,586,147
195,0,1,590,143
196,0,1,595,139
197,0,1,600,134
198,0,1,605,131
199,0,1,609,127
200,0,1,613,123
201,0,1,618,119
202,0,1,624,115
203,0,1,628,110
204,0,1,633,107
205,0,1,638,104
206,0,1,643,99
207,0,1,648,95
208,0,1,652,94
209,0,1,655,91
210,0,1,659,88
211,0,1,663,84
212,0,1,666,81
213,0,1,671,77
214,0,1,675,75
215,0,1,679,73
216,0,1,684,69
217,0,1,689,66
218,0,1,693,64
219,0,1,697,62
220,0,1,702,60
221,0,1,705,59
222,0,1,711,57
223,0,1,717,57
224,0,1,721,59
225,0,1,727,60
226,0,1,732,62
227,0,1,737,62
228,0,1,742,63
229,0,1,748,64
230,0,1,751,64
231,0,1,752,64
232,0,1,751,64
233,0,1,751,64
234,0,1,748,65
235,0,1,750,60
236,0,1,749,58
237,0,1,749,55
238,0,1,749,55
239,0,1,749,55
240,0,1,748,54
241,0,1,747,53
242,0,1,744,48
243,0,1,741,42
244,0,1,738,38
245,0,1,736,32
246,0,1,734,27
247,0,1,732,22
248,0,1,729,17
249,0,1,727,12
250,0,1,725,10
251,0,1,719,10
252,0,1,715,9
253,0,1,710,8
254,0,1,705,8
255,0,1,701,9
256,0,1,695,9
257,0,1,689,10
258,0,1,683,12
259,0,1,677,13
260,0,1,661,13
261,0,1,654,12
262,0,1,648,12
263,0,1,639,11
264,0,1,635,9
265,0,1,631,8
266,0,1,626,9
267,0,1,623,10
268,0,1,619,15
269,0,1,613,20
270,0,1,609,21
271,0,1,602,23
272,0,1,595,25
273,0,1,589,26
274,0,1,583,28
275,0,1,576,29
276,0,1,572,30
277,0,1,567,30
278,0,1,559,32
279,0,1,552,32
280,0,1,545,33
281,0,1,537,34
282,0,1,531,34
283,0,1,524,34
284,0,1,517,33
285,0,1,512,32
286,0,1,507,32
287,0,1,502,31
288,0,1,497,32
289,0,1,491,32
290,0,1,483,31
291,0,1,478,30
292,0,1,473,29
293,0,1,466,28
294,0,1,461,26
295,0,1,454,25
296,0,1,447,23
297,0,1,441,21
298,0,1,434,20
299,0,1,429,19
300,0,1,425,20
301,0,1,421,21
302,0,1,416,20
303,0,1,412,20
304,0,1,408,20
305,0,1,402,20
306,0,1,396,18
307,0,1,391,18
308,0,1,386,18
309,0,1,379,18
310,0,1,373,19
311,0,1,367,20
312,0,1,361,20
313,0,1,356,20
314,0,1,349,20
315,0,1,343,19
316,0,1,339,19
317,0,1,333,19
318,0,1,328,18
319,0,1,323,16
320,0,1,319,16
321,0,1,315,16
322,0,1,310,16
323,0,1,306,17
324,0,1,302,18
325,0,1,296,19
326,0,1,291,18
327,0,1,287,18
328,0,1,282,19
329,0,1,275,18
330,0,1,271,17
331,0,1,265,16
332,0,1,259,15
333,0,1,255,14
334,0,1,251,13
335,0,1,247,12
336,0,1,243,11
337,0,1,240,11
338,0,1,240,11
339,0,1,240,11
340,0,1,240,11
341,0,1,242,11
342,0,1,243,12
343,0,1,249,16
344,0,1,249,15
345,0,1,250,15
346,0,1,251,15
347,0,1,251,14
348,0,1,252,14
349,0,1,253,11
350,0,1,251,11
351,0,1,251,11
352,0,1,251,11
353,0,1,251,11
354,0,1,251,11
355,0,1,251,11
356,0,1,251,11
357,0,1,251,11
358,0,1,263,15
359,0,1,263,17
360,0,1,263,17
361,0,1,263,17
362,0,1,263,17
363,0,1,263,17
364,0,1,263,17
365,0,1,250,10
366,0,1,249,11
367,0,1,248,11
368,0,1,244,11
369,0,1,239,10
370,0,1,236,9
371,0,1,231,8
372,0,1,227,8
373,0,1,227,16
374,0,1,226,24
375,0,1,222,32
376,0,1,218,36
377,0,1,214,43
378,0,1,210,49
379,0,1,205,53
380,0,1,200,61
381,0,1,196,68
382,0,1,191,74
383,0,1,187,82
384,0,1,183,91
385,0,1,178,99
386,0,1,177,108
387,0,1,173,114
388,0,1,171,123
389,0,1,169,131
390,0,1,166,138
391,0,1,165,147
392,0,1,163,155
393,0,1,161,164
394,0,1,161,171
395,0,1,159,177
396,0,1,160,187
397,0,1,159,196
398,0,1,158,204
399,0,1,160,212
400,0,1,160,219
401,0,1,161,226
402,0,1,162,231
403,0,1,163,231
404,0,1,162,231
405,0,1,162,231
406,0,1,162,231
407,0,1,163,231
408,0,1,168,219
409,0,1,172,219
410,0,1,177,222
411,0,1,181,225
412,0,1,185,228
413,0,1,189,230
414,0,1,190,229
415,0,1,191,231
416,0,1,193,229
417,0,1,193,232
418,0,1,193,235
419,0,1,193,237
420,0,1,193,237
421,0,1,193,237
422,0,1,193,237
423,0,1,193,237
424,0,1,193,237
425,0,1,193,237
426,0,1,193,237
427,0,1,193,237
428,0,1,193,237
429,0,1,193,237
430,0,1,193,237
431,0,1,193,237
432,0,1,193,237
433,0,1,193,237
434,0,1,193,237
435,0,1,193,237
436,0,1,193,237
437,0,1,193,237
438,0,1,193,237
439,0,1,193,237
440,0,1,193,237
441,0,1,193,237
442,0,1,193,237
443,0,1,193,237
444,0,1,193,237
445,0,1,193,237
446,0,1,193,237
447,0,1,193,237
448,0,1,193,237
449,0,1,193,237
450,0,1,193,237
451,0,1,193,237
452,0,1,193,237
453,0,1,193,237
454,0,1,193,237
455,0,1,193,237
456,0,1,193,237
457,0,1,193,237
458,0,1,193,237
459,0,1,193,237
460,0,1,193,237
461,0,1,193,237
462,0,1,193,237
463,0,1,193,237
464,0,1,193,237
465,0,1,193,237
466,0,1,193,237
467,0,1,193,237
468,0,1,193,237
469,0,1,193,237
470,0,1,193,237
471,0,1,412,238
472,0,1,412,238
473,0,1,412,238
474,0,1,412,238
475,0,1,412,238
476,0,1,412,238
477,0,1,412,238
478,0,1,414,229
479,0,1,414,228
480,0,1,412,222
481,0,1,413,221
482,0,1,413,219
483,0,1,414,217
484,0,1,415,215
485,0,1,416,211
486,0,1,416,207
487,0,1,417,203
488,0,1,418,200
489,0,1,419,195
490,0,1,417,200
491,0,1,418,195
492,0,1,418,189
493,0,1,419,182
494,0,1,419,177
495,0,1,420,170
496,0,1,422,162
497,0,1,423,156
498,0,1,425,150
499,0,1,425,143
500,0,1,426,137
501,0,1,428,131
502,0,1,428,124
503,0,1,430,119
504,0,1,431,112
