"Min","Fly_1","Fly_2"
1,0,NA
1,1.9634,NA
1,NA,2.7767
1,NA,0.2697
1,NA,7.4984
1,NA,2.6699
1,NA,3.0751
1,NA,0
1,NA,0
1,NA,0
1,NA,58.852
1,NA,0.38141
1,1.9634,NA
1,NA,1.112
1,NA,2.3043
1,NA,1.9634
1,NA,1.4524
1,NA,0.85287
1,NA,0.5394
1,NA,0.2697
1,NA,1.2061
1,NA,1.0788
1,NA,4.1869
1,1.9634,NA
1,NA,2.4123
1,NA,3.0751
1,NA,2.697
1,NA,2.7504
1,NA,3.5473
1,NA,2.7504
1,NA,2.1576
1,NA,2.224
1,NA,1.3485
1,NA,2.5586
1,2.2885,NA
1,NA,3.6184
1,NA,3.0751
1,NA,2.054
1,NA,2.1576
1,NA,0
1,NA,4.4643
1,NA,2.867
1,NA,3.336
1,NA,1.6182
1,NA,1.3485
1,2.32,NA
1,NA,2.1064
1,NA,1.6405
1,NA,4.448
1,NA,2.697
1,NA,3.0153
1,NA,3.0153
1,NA,2.9789
1,NA,3.0153
1,NA,2.7504
1,NA,3.4115
1,3.6184,NA
1,NA,3.281
1,NA,3.7565
1,NA,1.9071
1,NA,4.521
1,NA,2.7767
1,NA,3.6683
1,1.8092,NA
1,2.9173,NA
1,2.7767,NA
1,3.336,NA
1,2.6562,NA
1,2.6562,NA
1,2.7767,NA
1,3.281,NA
1,2.8158,NA
1,1.8879,NA
1,1.0788,NA
1,0.85287,NA
1,2.3043,NA
1,1.7269,NA
1,0.85287,NA
1,0.97242,NA
1,1.2061,NA
1,2.4123,NA
1,2.4123,NA
1,2.1576,NA
1,1.9634,NA
1,2.9048,NA
1,2.8158,NA
1,2.9048,NA
1,3.0751,NA
1,3.9269,NA
1,3.281,NA
1,1.7057,NA
1,1.8879,NA
1,3.8332,NA
1,3.2476,NA
1,3.6683,NA
1,3.0513,NA
1,2.9173,NA
1,2.4865,NA
1,2.7767,NA
1,2.1744,NA
1,3.0153,NA
1,3.0751,NA
1,2.9048,NA
1,44.083,NA
1,2.4865,NA
1,2.5586,NA
1,2.3043,NA
1,3.0751,NA
1,4.3904,NA
1,2.4422,NA
1,2.054,NA
1,2.1744,NA
1,1.9448,NA
1,2.1744,NA
1,NA,0
1,NA,1.6405
1,NA,3.2476
1,NA,1.9634
1,NA,5.1526
1,NA,3.6284
1,NA,3.0751
1,NA,3.5061
1,NA,3.4327
1,NA,3.2476
2,NA,54.028
2,NA,1.1442
2,NA,3.336
2,NA,2.4865
2,NA,1.3752
2,NA,2.9048
2,NA,3.1568
2,NA,3.0153
2,NA,3.1452
2,NA,2.9667
2,NA,3.5165
2,NA,3.1568
2,NA,2.32
2,NA,2.7767
2,NA,2.7504
2,NA,2.6562
2,NA,2.867
2,NA,2.224
2,NA,2.4273
2,NA,2.224
2,NA,2.8158
2,NA,3.6683
2,NA,2.6562
2,NA,2.4123
2,NA,3.0513
2,NA,0.76283
2,NA,1.6405
2,NA,0.85287
2,NA,0.8091
2,NA,1.3485
2,NA,2.1064
2,NA,1.3752
2,NA,1.5726
2,1.3752,NA
2,0.76283,NA
2,0.97242,NA
2,1.7057,NA
2,1.3752,NA
2,1.0788,NA
2,2.4865,NA
2,1.8092,NA
2,0.85287,NA
2,0.8091,NA
2,0.38141,NA
2,2.1064,NA
2,2.4865,NA
2,1.9071,NA
2,3.5165,NA
2,2.9667,NA
2,3.0153,NA
2,2.697,NA
2,6.2265,NA
2,2.4422,NA
2,2.697,NA
2,2.4273,NA
2,2.4865,NA
2,2.5586,NA
2,1.6405,NA
2,1.3485,NA
2,2.054,NA
2,4.2643,NA
2,0.8091,NA
2,4.7178,NA
2,2.8158,NA
