"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",0,0,NA
4,"trial",0,0,1
6,"trial",NA,NA,1
10,"trial",0,0,NA
12,"trial",NA,0,1
14,"trial",0,NA,NA
18,"trial",NA,0,1
22,"trial",0,NA,1
24,"trial",NA,0,1
26,"trial",0,NA,1
28,"trial",0,NA,NA
30,"trial",NA,0,1
32,"trial",0,0,NA
34,"trial",0,0,1
36,"trial",0,NA,1
38,"trial",NA,0,NA
40,"trial",0,NA,1
42,"trial",0,NA,NA
44,"trial",0,NA,1
46,"trial",NA,0,NA
48,"trial",0,0,NA
50,"trial",NA,0,NA
52,"trial",NA,NA,1
56,"trial",0,0,NA
58,"trial",NA,NA,1
60,"trial",NA,0,1
