"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",NA,NA,NA
4,"trial",NA,NA,NA
6,"trial",NA,NA,NA
10,"trial",NA,NA,NA
12,"trial",NA,NA,NA
14,"trial",NA,NA,NA
18,"trial",NA,NA,NA
22,"trial",NA,NA,NA
24,"trial",NA,NA,NA
26,"trial",NA,NA,NA
28,"trial",NA,NA,NA
30,"trial",NA,NA,NA
32,"trial",NA,NA,NA
34,"trial",NA,NA,NA
36,"trial",NA,NA,NA
38,"trial",NA,NA,NA
40,"trial",NA,NA,NA
42,"trial",NA,NA,NA
44,"trial",NA,NA,NA
46,"trial",NA,NA,NA
48,"trial",NA,NA,NA
50,"trial",NA,NA,NA
52,"trial",NA,NA,NA
56,"trial",NA,NA,NA
58,"trial",NA,NA,NA
60,"trial",NA,NA,NA
