"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",0,1,NA
4,"trial",1,1,NA
6,"trial",NA,NA,NA
10,"trial",1,1,NA
12,"trial",NA,1,NA
14,"trial",1,NA,NA
18,"trial",NA,0,NA
22,"trial",1,NA,NA
24,"trial",NA,1,NA
26,"trial",1,NA,NA
28,"trial",1,NA,NA
30,"trial",NA,1,NA
32,"trial",1,1,NA
34,"trial",1,1,NA
36,"trial",1,NA,NA
38,"trial",NA,1,NA
40,"trial",1,NA,NA
42,"trial",1,NA,NA
44,"trial",1,NA,NA
46,"trial",NA,1,NA
48,"trial",1,1,NA
50,"trial",NA,1,NA
52,"trial",NA,NA,NA
56,"trial",1,1,NA
58,"trial",NA,NA,NA
60,"trial",NA,1,NA
