"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial","safe","pole",NA
4,"trial","pole","pole",NA
6,"trial",NA,NA,NA
10,"trial","pole","pole",NA
12,"trial",NA,"pole",NA
14,"trial","pole",NA,NA
18,"trial",NA,"unsafe",NA
22,"trial","pole",NA,NA
24,"trial",NA,"pole",NA
26,"trial","pole",NA,NA
28,"trial","pole",NA,NA
30,"trial",NA,"pole",NA
32,"trial","pole","pole",NA
34,"trial","pole","pole",NA
36,"trial","pole",NA,NA
38,"trial",NA,"pole",NA
40,"trial","pole",NA,NA
42,"trial","pole",NA,NA
44,"trial","pole",NA,NA
46,"trial",NA,"pole",NA
48,"trial","pole","pole",NA
50,"trial",NA,"pole",NA
52,"trial",NA,NA,NA
56,"trial","pole","pole",NA
58,"trial",NA,NA,NA
60,"trial",NA,"pole",NA
