"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",0,4.63,NA
4,"trial",5.47,2.63,NA
6,"trial",NA,NA,NA
10,"trial",2.3,3.23,NA
12,"trial",NA,1.07,NA
14,"trial",4.33,NA,NA
18,"trial",NA,0,NA
22,"trial",2.63,NA,NA
24,"trial",NA,1.2,NA
26,"trial",2.03,NA,NA
28,"trial",3.37,NA,NA
30,"trial",NA,3.2,NA
32,"trial",4.9,2.37,NA
34,"trial",6.53,2.17,NA
36,"trial",1.53,NA,NA
38,"trial",NA,3.57,NA
40,"trial",4.27,NA,NA
42,"trial",7.7,NA,NA
44,"trial",2.27,NA,NA
46,"trial",NA,2.2,NA
48,"trial",4.77,4.03,NA
50,"trial",NA,2.4,NA
52,"trial",NA,NA,NA
56,"trial",4.2,3.93,NA
58,"trial",NA,NA,NA
60,"trial",NA,2.5,NA
